indicador,valor,unidad
proyectos_totales,144.0,proyectos
proyectos_unicos,144.0,proyectos
escenarios_totales,7.0,escenarios
cobertura_geometrica,100.0,porcentaje
proyectos_multiescenario,0.0,proyectos
promedio_proyectos_escenario,20.571428571428573,proyectos
cv_tamano_escenarios,0.0240562612162344,coeficiente
indice_demanda_estructural_media_amba,50.34722222222222,score
indice_demanda_estructural_max_amba,100.0,score
deficit_infraestructura_media_amba,68.83751736111111,score
deficit_infraestructura_max_amba,100.0,score
indice_conectividad_estructural_media_amba,57.37846805555556,score
indice_conectividad_estructural_max_amba,87.1528,score
indice_intermodalidad_estructural_media_amba,39.151210416666665,score
indice_intermodalidad_estructural_max_amba,98.1771,score
indice_integracion_territorial_media_amba,50.347222916666674,score
indice_integracion_territorial_max_amba,79.9769,score
indice_centralidad_estructural_media_amba,44.366666666666674,score
indice_centralidad_estructural_max_amba,93.74,score
impacto_potencial_media_amba,51.37580857638889,score
impacto_potencial_max_amba,86.80549333333333,score
urgencia_intervencion_media_amba,58.71942729166668,score
urgencia_intervencion_max_amba,85.073795,score
score_prioridad_territorial_media_amba,54.91608370486111,score
score_prioridad_territorial_max_amba,74.08132433333333,score
score_cartera_media_amba,54.95554397361111,score
score_cartera_max_amba,72.79725111666666,score
