indicador,valor,unidad
proyectos_totales,144.0,proyectos
proyectos_unicos,144.0,proyectos
escenarios_totales,7.0,escenarios
cobertura_geometrica,100.0,%
geometrias_validas,144.0,geometrías
proyectos_multiescenario,0.0,proyectos
demanda_promedio,50.347222222222214,índice
demanda_maximo,100.0,índice
deficit_promedio,68.83751736111111,índice
deficit_maximo,100.0,índice
conectividad_promedio,57.37846805555556,índice
conectividad_maximo,87.1528,índice
intermodalidad_promedio,39.151210416666665,índice
intermodalidad_maximo,98.1771,índice
integracion_promedio,50.347222916666674,índice
integracion_maximo,79.9769,índice
centralidad_promedio,44.366666666666674,índice
centralidad_maximo,93.74,índice
impacto_promedio,51.37580857638889,índice
impacto_maximo,86.80549333333333,índice
urgencia_promedio,58.719427291666676,índice
urgencia_maximo,85.073795,índice
