proyecto_id,escenario_id,geometry_type,geometry_valid,geometry_empty,geometry_null,crs
AMBA-P001,AMBA-E003,Polygon,True,False,False,EPSG:4326
AMBA-P002,AMBA-E004,Polygon,True,False,False,EPSG:4326
AMBA-P003,AMBA-E003,Polygon,True,False,False,EPSG:4326
AMBA-P004,AMBA-E003,Polygon,True,False,False,EPSG:4326
AMBA-P005,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P006,AMBA-E006,Polygon,True,False,False,EPSG:4326
AMBA-P007,AMBA-E004,Polygon,True,False,False,EPSG:4326
AMBA-P008,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P009,AMBA-E007,Polygon,True,False,False,EPSG:4326
AMBA-P010,AMBA-E006,Polygon,True,False,False,EPSG:4326
AMBA-P011,AMBA-E007,Polygon,True,False,False,EPSG:4326
AMBA-P012,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P013,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P014,AMBA-E004,Polygon,True,False,False,EPSG:4326
AMBA-P015,AMBA-E006,Polygon,True,False,False,EPSG:4326
AMBA-P016,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P017,AMBA-E004,Polygon,True,False,False,EPSG:4326
AMBA-P018,AMBA-E006,Polygon,True,False,False,EPSG:4326
AMBA-P019,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P020,AMBA-E002,Polygon,True,False,False,EPSG:4326
AMBA-P021,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P022,AMBA-E007,Polygon,True,False,False,EPSG:4326
AMBA-P023,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P024,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P025,AMBA-E004,Polygon,True,False,False,EPSG:4326
AMBA-P026,AMBA-E002,Polygon,True,False,False,EPSG:4326
AMBA-P027,AMBA-E003,Polygon,True,False,False,EPSG:4326
AMBA-P028,AMBA-E003,Polygon,True,False,False,EPSG:4326
AMBA-P029,AMBA-E004,Polygon,True,False,False,EPSG:4326
AMBA-P030,AMBA-E003,Polygon,True,False,False,EPSG:4326
AMBA-P031,AMBA-E003,Polygon,True,False,False,EPSG:4326
AMBA-P032,AMBA-E005,Polygon,True,False,False,EPSG:4326
AMBA-P033,AMBA-E006,Polygon,True,False,False,EPSG:4326
AMBA-P034,AMBA-E004,Polygon,True,False,False,EPSG:4326
AMBA-P035,AMBA-E005,Polygon,True,False,False,EPSG:4326
AMBA-P036,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P037,AMBA-E003,Polygon,True,False,False,EPSG:4326
AMBA-P038,AMBA-E006,Polygon,True,False,False,EPSG:4326
AMBA-P039,AMBA-E005,Polygon,True,False,False,EPSG:4326
AMBA-P040,AMBA-E002,Polygon,True,False,False,EPSG:4326
AMBA-P041,AMBA-E005,Polygon,True,False,False,EPSG:4326
AMBA-P042,AMBA-E006,Polygon,True,False,False,EPSG:4326
AMBA-P043,AMBA-E002,Polygon,True,False,False,EPSG:4326
AMBA-P044,AMBA-E006,Polygon,True,False,False,EPSG:4326
AMBA-P045,AMBA-E006,Polygon,True,False,False,EPSG:4326
AMBA-P046,AMBA-E004,Polygon,True,False,False,EPSG:4326
AMBA-P047,AMBA-E005,Polygon,True,False,False,EPSG:4326
AMBA-P048,AMBA-E004,Polygon,True,False,False,EPSG:4326
AMBA-P049,AMBA-E005,Polygon,True,False,False,EPSG:4326
AMBA-P050,AMBA-E002,Polygon,True,False,False,EPSG:4326
AMBA-P051,AMBA-E005,Polygon,True,False,False,EPSG:4326
AMBA-P052,AMBA-E007,Polygon,True,False,False,EPSG:4326
AMBA-P053,AMBA-E003,Polygon,True,False,False,EPSG:4326
AMBA-P054,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P055,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P056,AMBA-E002,Polygon,True,False,False,EPSG:4326
AMBA-P057,AMBA-E005,Polygon,True,False,False,EPSG:4326
AMBA-P058,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P059,AMBA-E001,Polygon,True,False,False,EPSG:4326
AMBA-P060,AMBA-E002,Polygon,True,False,False,EPSG:4326
AMBA-P061,AMBA-E002,Polygon,True,False,False,EPSG:4326
AMBA-P062,AMBA-E005,Polygon,True,False,False,EPSG:4326
AMBA-P063,AMBA-E003,Polygon,True,False,False,EPSG:4326
AMBA-P064,AMBA-E007,Polygon,True,False,False,EPSG:4326
AMBA-P065,AMBA-E002,Polygon,True,False,False,EPSG:4326
AMBA-P066,AMBA-E005,Polygon,True,False,False,EPSG:4326
AMBA-P067,AMBA-E005,Polygon,True,False,False,EPSG:4326
AMBA-P068,AMBA-E005,Polygon,True,False,False,EPSG:4326
AMBA-P069,AMBA-E004,Polygon,True,False,False,EPSG:4326
AMBA-P070,AMBA-E006,Polygon,True,False,False,EPSG:4326
AMBA-P071,AMBA-E002,Polygon,True,False,False,EPSG:4326
AMBA-P072,AMBA-E002,Polygon,True,False,False,EPSG:4326
AMBA-P073,AMBA-E005,Polygon,True,False,False,EPSG:4326
AMBA-P074,AMBA-E006,Polygon,True,False,False,EPSG:4326
AMBA-P075,AMBA-E007,Polygon,True,False,False,EPSG:4326
