cluster_territorial,cantidad_proyectos,cantidad_tipos_proyecto,tipos_proyecto,score_cartera_promedio,score_prioridad_promedio,impacto_potencial_promedio,urgencia_promedio,deficit_promedio,demanda_promedio,infraestructura_promedio,intermodalidad_promedio,conectividad_promedio,integracion_promedio,centralidad_promedio,demanda_total,cobertura_proyectos,cobertura_demanda,cobertura_territorial,deficit_atendido,deficit_atendido_normalizado,diversidad_intervenciones,sinergias_intervencion,complementariedad,impacto_territorial,impacto_territorial_normalizado,demanda_cubierta,demanda_cubierta_normalizada,score_escenario,prioridad_escenario,horizonte_escenario,tipo_escenario,ranking_escenario,escenario_id,escenario_nombre,diagnostico_escenario,objetivo_escenario,justificacion_escenario,dimensiones_prioritarias
3,133,6,AMPLIACION_INFRAESTRUCTURA|INTEGRACION_TERRITORIAL|MEJORA_CONECTIVIDAD|MEJORA_INTERMODAL|MONITOREO|PROYECTO_INTEGRAL_CENTRALIDAD,54.54142350701755,54.47497311779448,50.67442649958229,58.718522330827064,55.51538646616541,49.16457811194654,31.094881203007514,39.24471654135338,57.85035187969925,49.74850451127819,44.02458646616541,6538.88888888889,100.0,100.0,100.0,55.51538646616541,75.99851441155035,100.0,100.0,100.0,50.67442649958229,25.20349328128987,49.16457811194654,21.287088689465605,60.56549173913508,PRIORIDAD_2_ALTA,MEDIANO_PLAZO,ESCENARIO_METROPOLITANO,1,AMBA-E001,Escenario Territorial AMBA 1,ALTA_COMPLEMENTARIEDAD,Integrar proyectos complementarios para generar sinergias territoriales y metropolitanas.,"Escenario AMBA-E001 compuesto por 133 proyectos. Presenta un score territorial de 60.57, impacto potencial de 50.67, cobertura territorial de 100.00 y déficit atendido de 55.52.",infraestructura|intermodalidad|centralidad
2,1,1,PROYECTO_INTEGRAL_CENTRALIDAD,72.62915166666666,73.89418833333333,84.46923888888888,54.885560000000005,49.77675,96.52777777777779,32.1546,40.1215,58.5938,70.0231,60.81,96.52777777777779,0.7518796992481203,1.4762107051826678,1.1140452022153942,49.77675,65.89192271199276,20.0,0.0,12.0,84.46923888888888,100.0,96.52777777777779,94.62365591397851,59.28329796993841,PRIORIDAD_3_MEDIA,MEDIANO_PLAZO,ESCENARIO_CENTRALIDAD,2,AMBA-E002,Escenario Territorial AMBA 2,ALTA_DEMANDA_BAJO_SOPORTE,Incrementar la capacidad de infraestructura y soporte en áreas con elevada demanda de movilidad.,"Escenario AMBA-E002 compuesto por 1 proyectos. Presenta un score territorial de 59.28, impacto potencial de 84.47, cobertura territorial de 1.11 y déficit atendido de 49.78.",infraestructura|intermodalidad|conectividad
4,1,1,AMPLIACION_INFRAESTRUCTURA,70.69559865000001,71.32076450000001,71.85506166666667,66.61869500000002,61.361975,83.33333333333334,22.7002,32.3438,25.7812,73.7269,48.38,83.33333333333334,0.7518796992481203,1.274426508071368,1.013153103659744,61.361975,86.2952257462317,20.0,0.0,12.0,71.85506166666667,72.08162067940681,83.33333333333334,74.19354838709678,54.472982697894516,PRIORIDAD_3_MEDIA,LARGO_PLAZO,ESCENARIO_SELECTIVO,3,AMBA-E003,Escenario Territorial AMBA 3,ALTA_DEMANDA_BAJO_SOPORTE,Incrementar la capacidad de infraestructura y soporte en áreas con elevada demanda de movilidad.,"Escenario AMBA-E003 compuesto por 1 proyectos. Presenta un score territorial de 54.47, impacto potencial de 71.86, cobertura territorial de 1.01 y déficit atendido de 61.36.",infraestructura|conectividad|intermodalidad
5,1,1,AMPLIACION_INFRAESTRUCTURA,69.15844718333332,69.91186466666666,76.48144111111111,58.319505,54.981649999999995,84.72222222222221,31.9432,39.3629,54.9479,53.8194,54.9,84.72222222222221,0.7518796992481203,1.295666949872557,1.0237733245603386,54.981649999999995,75.05852517011594,20.0,0.0,12.0,76.48144111111111,82.32097390360711,84.72222222222221,76.34408602150536,54.28026657806284,PRIORIDAD_3_MEDIA,LARGO_PLAZO,ESCENARIO_SELECTIVO,4,AMBA-E004,Escenario Territorial AMBA 4,ALTA_DEMANDA_BAJO_SOPORTE,Incrementar la capacidad de infraestructura y soporte en áreas con elevada demanda de movilidad.,"Escenario AMBA-E004 compuesto por 1 proyectos. Presenta un score territorial de 54.28, impacto potencial de 76.48, cobertura territorial de 1.02 y déficit atendido de 54.98.",infraestructura|intermodalidad|integracion
6,1,1,AMPLIACION_INFRAESTRUCTURA,65.47709743333333,65.73820466666666,63.03122444444444,66.70447,61.688900000000004,70.13888888888889,20.5945,30.1615,42.8819,59.6065,44.62,70.13888888888889,0.7518796992481203,1.0726423109600678,0.912261005104094,61.688900000000004,86.87098925919486,20.0,0.0,12.0,63.03122444444444,52.55222686375759,70.13888888888889,53.76344086021505,46.62966989783145,PRIORIDAD_4_BAJA,LARGO_PLAZO,ESCENARIO_SELECTIVO,5,AMBA-E005,Escenario Territorial AMBA 5,INTERVENCION_TERRITORIAL_MEDIA,Mejorar progresivamente las condiciones territoriales de movilidad mediante intervenciones coordinadas.,"Escenario AMBA-E005 compuesto por 1 proyectos. Presenta un score territorial de 46.63, impacto potencial de 63.03, cobertura territorial de 0.91 y déficit atendido de 61.69.",infraestructura|intermodalidad|conectividad
11,1,1,CONSOLIDACION_CENTRALIDAD,50.108873800000005,52.03921150000001,82.472515,8.73699,12.362575,100.0,100.0,98.1771,77.2569,75.1157,93.74,100.0,0.7518796992481203,1.5293118096856413,1.1405957544668808,12.362575,0.0,20.0,0.0,12.0,82.472515,95.58074268765749,100.0,100.0,41.19700382280776,PRIORIDAD_4_BAJA,LARGO_PLAZO,ESCENARIO_SELECTIVO,6,AMBA-E006,Escenario Territorial AMBA 6,ALTO_IMPACTO_POTENCIAL,Capturar el elevado impacto potencial mediante intervenciones coordinadas sobre centralidades estratégicas.,"Escenario AMBA-E006 compuesto por 1 proyectos. Presenta un score territorial de 41.20, impacto potencial de 82.47, cobertura territorial de 1.14 y déficit atendido de 12.36.",integracion|conectividad|centralidad
7,1,1,MEJORA_CONECTIVIDAD,59.83943663333333,59.448510666666664,46.60618444444444,74.89701000000001,69.1437,51.388888888888886,11.5964,16.7188,40.3646,54.7454,33.19,51.388888888888886,0.7518796992481203,0.78589634664401,0.7688880229460651,69.1437,100.0,20.0,0.0,12.0,46.60618444444444,16.199439916379298,51.388888888888886,24.731182795698913,36.603016003038874,PRIORIDAD_4_BAJA,LARGO_PLAZO,ESCENARIO_DEFICIT,7,AMBA-E007,Escenario Territorial AMBA 7,ALTA_URGENCIA,Atender déficits y restricciones territoriales con elevada urgencia de intervención.,"Escenario AMBA-E007 compuesto por 1 proyectos. Presenta un score territorial de 36.60, impacto potencial de 46.61, cobertura territorial de 0.77 y déficit atendido de 69.14.",infraestructura|intermodalidad|centralidad
1,2,2,MEJORA_CONECTIVIDAD|PROYECTO_INTEGRAL_CENTRALIDAD,57.089953699999995,56.971056000000004,51.571493333333336,63.163270000000004,59.9408,51.04166666666667,28.352899999999998,30.52395,53.2118,48.14815,41.3,102.08333333333334,1.5037593984962405,1.5611724723874256,1.532465935441833,59.9408,83.79232535459627,40.0,0.0,24.0,51.571493333333336,27.188930119490024,51.04166666666667,24.193548387096776,36.20755004594464,PRIORIDAD_4_BAJA,LARGO_PLAZO,ESCENARIO_CENTRALIDAD,8,AMBA-E008,Escenario Territorial AMBA 8,INTERVENCION_TERRITORIAL_MEDIA,Mejorar progresivamente las condiciones territoriales de movilidad mediante intervenciones coordinadas.,"Escenario AMBA-E008 compuesto por 2 proyectos. Presenta un score territorial de 36.21, impacto potencial de 51.57, cobertura territorial de 1.53 y déficit atendido de 59.94.",infraestructura|intermodalidad|centralidad
8,1,1,MEJORA_CONECTIVIDAD,55.281848,55.20725,51.0184,59.89342,57.17699999999999,50.0,32.9129,39.3629,44.9653,54.0509,43.25,50.0,0.7518796992481203,0.7646559048428206,0.7582678020454705,57.17699999999999,78.92486279551522,20.0,0.0,12.0,51.0184,25.964794037709883,50.0,22.580645161290317,33.00426340313316,PRIORIDAD_4_BAJA,LARGO_PLAZO,ESCENARIO_SELECTIVO,9,AMBA-E009,Escenario Territorial AMBA 9,INTERVENCION_TERRITORIAL_MEDIA,Mejorar progresivamente las condiciones territoriales de movilidad mediante intervenciones coordinadas.,"Escenario AMBA-E009 compuesto por 1 proyectos. Presenta un score territorial de 33.00, impacto potencial de 51.02, cobertura territorial de 0.76 y déficit atendido de 57.18.",infraestructura|intermodalidad|centralidad
9,1,1,MEJORA_CONECTIVIDAD,51.71656819999999,51.202735999999994,40.05376,65.77726,61.72879999999999,37.5,22.5762,30.7691,50.7812,48.9583,35.56,37.5,0.7518796992481203,0.5734919286321155,0.6626858139401179,61.72879999999999,86.94125908917796,20.0,0.0,12.0,40.05376,1.6972597196989712,37.5,3.2258064516128964,26.20670087829029,PRIORIDAD_4_BAJA,LARGO_PLAZO,ESCENARIO_SELECTIVO,10,AMBA-E010,Escenario Territorial AMBA 10,INTERVENCION_TERRITORIAL_MEDIA,Mejorar progresivamente las condiciones territoriales de movilidad mediante intervenciones coordinadas.,"Escenario AMBA-E010 compuesto por 1 proyectos. Presenta un score territorial de 26.21, impacto potencial de 40.05, cobertura territorial de 0.66 y déficit atendido de 61.73.",infraestructura|intermodalidad|centralidad
