archivo,presente,tamano_mb,sha256,estado_cierre
modelo_maestro_proyectos_v4.csv,SI,0.3017,d6a24cddd8ed1a71bf324c252494cf7088b0d65dc4729128394b26bc63f18035,INCLUIDO
modelo_maestro_escenarios_v4.csv,SI,0.0045,87eb0e6978c263e2cd379d2d83f92f60d4cb3f80c14471cabb303ce921a6d7a8,INCLUIDO
ranking_final_proyectos_v4.csv,SI,0.0264,2cc9d6cba916082669e6046c2ed0d9f9d2b622779594596a46fdfc9406634859,INCLUIDO
ranking_final_escenarios_v4.csv,SI,0.0014,1a5060caa9d319bef9d05510c021f2e16605ef5eb51b20a1a1ee9f93c02e9a1b,INCLUIDO
matriz_integral_escenarios_v4.csv,SI,0.0012,8051d16859b12ab23cb0a8a11dca1e6464be3b1197ce1b7eb656a132b7d314b9,INCLUIDO
indicadores_globales_amba_v4.csv,SI,0.0014,172ea570d14d77f806bc8395f8553f159056524d343b7c4b5c5fd0f80acea27e,INCLUIDO
modelo_maestro_territorial_amba_v4.gpkg,SI,0.6992,fd60260dfe552c4824b9406b1b786969180c4d65ce5d0862f12846f423b85dee,INCLUIDO
informe_territorial_amba_v4_1.md,SI,0.0081,ebb6c272820d074235c028e34e1e2ab4d9cc27512bbb2452ae8a91315e4d028d,INCLUIDO
atlas_territorial_amba_v4.gpkg,SI,0.7109,bcea91166f5aa83d4b66706bcf390f750003940e0d2f0047b8dfc28d259ef08a,INCLUIDO
atlas_territorial_amba_v4.md,SI,0.0026,e63e5be534a0b9e84838effb3938cbc44141479fbcf6be224be120d8efde915c,INCLUIDO
auditoria_41_modelo_territorial_amba_v4.csv,SI,0.0016,002a55b047cbf654b9176c4f3e1171456dcf49f4e4c98f0cef6b22812c5b302f,INCLUIDO
resumen_41_auditoria_modelo_territorial_amba_v4.json,SI,0.0006,810db9fea54a346977ba315085463f19a6990f6b2a5420017a3b0cdc0bd8928b,INCLUIDO
informe_41_auditoria_modelo_territorial_amba_v4.md,SI,0.0008,7ac7a2e34f6cc5a9444bada17ef3127289bd12b975dfed817fe2ae2feeb79029,INCLUIDO
