iteracion,proyecto_id,escenario_origen,escenario_destino,distancia_origen,distancia_destino,mejora_distancia,tipo_movimiento
1,AMBA-P001,AMBA-E003,AMBA-E006,18871.328146365733,17252.532494095154,1618.795652270579,
1,AMBA-P020,AMBA-E002,AMBA-E003,12950.728314429422,10822.9961631178,2127.732151311622,
1,AMBA-P021,AMBA-E001,AMBA-E007,8884.185450982684,7320.009043350461,1564.1764076322233,
1,AMBA-P034,AMBA-E004,AMBA-E007,16291.448454890095,10412.007525948506,5879.440928941589,
1,AMBA-P048,AMBA-E004,AMBA-E007,16374.019538571023,10487.685011824118,5886.334526746905,
1,AMBA-P056,AMBA-E002,AMBA-E005,19414.289757758463,15629.434311917774,3784.855445840689,
1,AMBA-P060,AMBA-E002,AMBA-E005,13052.135022284772,7412.224099019286,5639.910923265486,
1,AMBA-P072,AMBA-E002,AMBA-E003,15876.53332409007,9231.487999238525,6645.045324851546,
1,AMBA-P076,AMBA-E004,AMBA-E007,17472.068576749676,11941.878747264904,5530.189829484772,
1,AMBA-P089,AMBA-E004,AMBA-E001,16766.373497974553,9042.618017808345,7723.755480166208,
1,AMBA-P093,AMBA-E004,AMBA-E001,15964.474478757647,9840.226053150562,6124.248425607086,
1,AMBA-P098,AMBA-E004,AMBA-E001,12984.364114566724,10933.153144753736,2051.210969812988,
1,AMBA-P099,AMBA-E004,AMBA-E001,18340.67879338277,11178.065665416403,7162.613127966366,
1,AMBA-P100,AMBA-E004,AMBA-E001,18039.610397263,9893.378123087521,8146.23227417548,
1,AMBA-P101,AMBA-E002,AMBA-E005,14815.103727758387,13005.744801671304,1809.358926087083,
1,AMBA-P108,AMBA-E007,AMBA-E002,7461.583517078762,7063.47499897167,398.1085181070921,
1,AMBA-P112,AMBA-E002,AMBA-E003,20162.62404068391,12351.077714459085,7811.546326224825,
1,AMBA-P123,AMBA-E002,AMBA-E005,21170.010754941668,14046.355009095181,7123.655745846487,
1,AMBA-P125,AMBA-E002,AMBA-E006,22816.02060102123,14349.551819416805,8466.468781604426,
1,AMBA-P139,AMBA-E002,AMBA-E003,19959.57942450288,9581.311745268913,10378.267679233968,
1,AMBA-P140,AMBA-E004,AMBA-E002,20769.687701538354,20488.383875047115,281.3038264912393,
1,AMBA-P141,AMBA-E002,AMBA-E003,14435.187814858364,10185.147940208128,4250.039874650236,
1,AMBA-P144,AMBA-E007,AMBA-E002,10292.415612603243,8777.681791924415,1514.7338206788281,
2,AMBA-P061,AMBA-E002,AMBA-E007,10240.70010135418,9215.359205925704,1025.340895428475,
2,AMBA-P098,AMBA-E001,AMBA-E004,11451.254344738347,9031.14807765406,2420.1062670842875,
2,AMBA-P102,AMBA-E004,AMBA-E001,16479.557246783086,15172.24349316005,1307.313753623037,
2,AMBA-P140,AMBA-E002,AMBA-E001,20307.345580110246,17671.95404697973,2635.391533130518,
3,AMBA-P100,AMBA-E001,AMBA-E004,11178.597713928439,11119.710426958982,58.88728696945691,
3,AMBA-P140,AMBA-E001,AMBA-E007,17400.276247866666,15776.647166462919,1623.6290814037475,
4,AMBA-P102,AMBA-E001,AMBA-E004,16515.492612715087,8421.527523320336,8093.965089394751,
4,AMBA-P114,AMBA-E004,AMBA-E001,15585.720178033098,11236.47603438613,4349.244143646967,
5,AMBA-P114,AMBA-E001,AMBA-E004,12316.949117988412,8710.754710987276,3606.194407001136,
6,AMBA-P140,AMBA-E007,AMBA-E004,15776.647166462919,13371.89248375332,2404.7546827095994,
1,AMBA-P067,AMBA-E005,AMBA-E004,,,,BALANCE_TAMANO
2,AMBA-P076,AMBA-E007,AMBA-E004,,,,BALANCE_TAMANO
3,AMBA-P110,AMBA-E005,AMBA-E002,,,,BALANCE_TAMANO
4,AMBA-P048,AMBA-E007,AMBA-E004,,,,BALANCE_TAMANO
5,AMBA-P062,AMBA-E005,AMBA-E002,,,,BALANCE_TAMANO
6,AMBA-P034,AMBA-E007,AMBA-E004,,,,BALANCE_TAMANO
