escenario_id,posicion_representativa,proyecto_id,score_representativo,prioridad_escenario,indice_demanda,deficit_infraestructura,indice_conectividad,indice_intermodalidad,indice_integracion,indice_centralidad,impacto_potencial,urgencia_intervencion,prioridad_territorial,score_cartera
AMBA-E001,1,AMBA-P012,72.6820743,PRIORIDAD_3_MEDIA,95.83333333333334,62.7509,59.9826,53.7041,79.9769,65.8,85.33003166666667,47.68128,71.46829650000001,69.9795043
AMBA-E001,2,AMBA-P016,70.26190235000001,PRIORIDAD_3_MEDIA,89.58333333333334,69.07130000000001,45.6597,53.7041,79.5139,60.15,79.51034666666668,53.14347000000001,70.16834800000001,69.0159161
AMBA-E001,3,AMBA-P005,70.05203876111112,PRIORIDAD_3_MEDIA,86.11111111111111,83.6536,51.6493,38.6458,76.9676,53.09,75.95810055555556,61.92499,72.08562783333333,71.14240306666666
AMBA-E001,4,AMBA-P013,69.25068881666667,PRIORIDAD_3_MEDIA,85.41666666666666,74.1863,43.0556,45.6312,76.5046,55.31,76.49207833333334,58.17991,70.5321645,69.57331339999999
AMBA-E001,5,AMBA-P024,69.011279125,PRIORIDAD_3_MEDIA,87.5,63.7924,55.4688,53.7041,78.588,62.22,79.425575,49.208975,68.4811425,67.23198225
AMBA-E002,1,AMBA-P020,69.62195239722222,PRIORIDAD_3_MEDIA,88.88888888888889,58.0533,70.0521,44.3518,63.7731,62.91,80.93925944444445,48.556985000000005,68.83067316666667,67.60590788333333
AMBA-E002,2,AMBA-P026,69.18600591944445,PRIORIDAD_3_MEDIA,88.19444444444444,50.18,60.5035,47.1042,56.8287,63.09,81.09240222222223,47.670945,68.09043633333334,66.97780751666667
AMBA-E002,3,AMBA-P040,65.35895259722223,PRIORIDAD_3_MEDIA,80.55555555555556,51.8529,52.2569,59.9994,64.6991,62.51,76.10665277777777,45.585065,64.20157916666668,63.194863083333345
AMBA-E002,4,AMBA-P043,65.31646401666667,PRIORIDAD_3_MEDIA,81.25,52.0994,67.4479,59.1714,66.088,64.91,76.926605,42.64413000000001,63.6661405,62.50190859999999
AMBA-E002,5,AMBA-P050,62.141975119444446,PRIORIDAD_3_MEDIA,73.61111111111111,55.1749,87.1528,43.5238,46.6435,59.73,70.69729555555556,46.761925000000005,61.43096233333333,60.62055671666666
AMBA-E003,1,AMBA-P001,74.61030785277778,PRIORIDAD_3_MEDIA,98.61111111111111,62.4889,59.809,41.2041,64.0046,62.57,86.47011555555555,53.132045000000005,74.08132433333333,72.79725111666666
AMBA-E003,2,AMBA-P003,73.64325523888888,PRIORIDAD_3_MEDIA,97.22222222222221,57.138,58.2465,43.5238,64.4676,63.77,86.07411611111111,50.65481,72.72296716666668,71.41541593333334
AMBA-E003,3,AMBA-P004,72.64828447777778,PRIORIDAD_3_MEDIA,94.44444444444444,64.43260000000001,58.7674,39.3629,64.2361,60.34,82.74153222222222,54.543420000000005,72.48680433333334,71.33350586666667
AMBA-E003,4,AMBA-P028,70.04210702222223,PRIORIDAD_3_MEDIA,90.97222222222221,48.735,60.8507,58.2115,52.8935,66.17,83.49107611111111,44.83696,67.96069316666667,66.82169063333333
AMBA-E003,5,AMBA-P031,67.43020012777778,PRIORIDAD_3_MEDIA,84.02777777777779,59.1714,48.7847,56.0238,68.4028,60.78,77.3548938888889,49.645250000000004,66.89603383333335,65.87724526666668
AMBA-E004,1,AMBA-P002,73.86931944444444,PRIORIDAD_3_MEDIA,96.52777777777779,67.8454,58.5938,40.1215,70.0231,60.81,84.46923888888888,54.885560000000005,73.89418833333333,72.62915166666666
AMBA-E004,2,AMBA-P007,72.04609883055555,PRIORIDAD_3_MEDIA,93.05555555555556,67.287,63.2813,39.3629,60.9954,59.56,81.50214777777778,55.268505000000005,71.98516866666667,70.90521598333333
AMBA-E004,3,AMBA-P014,70.63836634444445,PRIORIDAD_3_MEDIA,90.27777777777779,63.8768,55.9896,41.2041,62.6157,59.01,79.71725888888889,54.659420000000004,70.59367033333334,69.57207106666667
AMBA-E004,4,AMBA-P025,66.41134991666667,PRIORIDAD_3_MEDIA,79.16666666666666,68.8331,50.7812,41.2041,62.3843,53.64,73.01350833333332,57.71833000000001,67.8351875,67.094407
AMBA-E004,5,AMBA-P017,66.35754642222221,PRIORIDAD_3_MEDIA,78.47222222222221,82.294,67.6215,19.8438,53.125,47.39,68.3012961111111,66.4636,69.00201516666667,68.51614503333333
AMBA-E005,1,AMBA-P041,65.66850596944444,PRIORIDAD_3_MEDIA,81.94444444444444,51.3187,55.816,66.8639,66.3194,65.13,77.63019222222222,42.700395,63.85671533333334,62.74928881666667
AMBA-E005,2,AMBA-P032,64.64183131944445,PRIORIDAD_3_MEDIA,75.69444444444444,69.5837,45.8333,41.2041,61.6898,51.6,69.51504722222222,59.112325,66.25592083333333,65.67325041666666
AMBA-E005,3,AMBA-P035,64.31475454999999,PRIORIDAD_3_MEDIA,75.0,72.9585,64.4965,39.3629,61.4583,52.95,69.75804000000001,57.224630000000005,65.82850400000001,65.1273533
AMBA-E005,4,AMBA-P039,61.67172839444445,PRIORIDAD_3_MEDIA,69.44444444444444,74.9327,64.4965,32.158,59.375,49.14,64.21038222222222,60.12803,63.79808933333334,63.30942436666667
AMBA-E005,5,AMBA-P049,60.157142924999995,PRIORIDAD_3_MEDIA,66.66666666666666,71.5568,69.6181,39.3629,58.912,51.32,63.93452333333333,56.021575,61.768634,61.23145855
AMBA-E006,1,AMBA-P006,72.41402088333332,PRIORIDAD_4_MEDIA_BAJA,93.75,65.1169,62.2396,41.2041,60.7639,60.5,82.753465,54.18323,72.2099565,71.0874738
AMBA-E006,2,AMBA-P018,71.66486534722223,PRIORIDAD_4_MEDIA_BAJA,95.13888888888889,61.0047,74.2188,56.0238,76.7361,68.3,84.85374444444444,44.041755,69.60028166666666,68.05452208333332
AMBA-E006,3,AMBA-P044,70.0286282722222,PRIORIDAD_4_MEDIA_BAJA,99.30555555555556,45.0884,83.941,72.3312,79.7454,78.55,84.89931777777778,31.202550000000002,63.99945066666667,62.214895633333335
AMBA-E006,4,AMBA-P015,68.91558003055555,PRIORIDAD_4_MEDIA_BAJA,84.72222222222221,68.0568,54.9479,39.3629,53.8194,54.9,76.48144111111111,58.319505,69.91186466666666,69.15844718333332
AMBA-E006,5,AMBA-P010,66.67690700277778,PRIORIDAD_4_MEDIA_BAJA,77.77777777777779,83.9324,22.8299,18.3681,62.1528,40.66,65.20896888888889,75.09203500000001,70.75147633333333,70.57118401666666
AMBA-E007,1,AMBA-P009,73.55060736666667,PRIORIDAD_4_MEDIA_BAJA,97.91666666666666,54.097,62.934,45.6581,63.5417,65.78,86.80549333333333,48.10622000000001,72.03441600000001,70.6608482
AMBA-E007,2,AMBA-P011,71.64293789444446,PRIORIDAD_4_MEDIA_BAJA,92.36111111111111,58.3802,58.941,43.5238,56.5972,61.32,82.81346555555555,52.193349999999995,71.12863433333334,70.04106636666667
AMBA-E007,3,AMBA-P022,70.41738769999999,PRIORIDAD_4_MEDIA_BAJA,91.66666666666666,57.3667,68.8368,56.8518,67.2454,66.58,83.43096833333333,44.879560000000005,68.6473835,67.2997477
AMBA-E007,4,AMBA-P052,63.00226888055556,PRIORIDAD_4_MEDIA_BAJA,76.38888888888889,50.0653,79.4271,58.8179,52.4306,64.32,74.28892944444445,41.57163500000001,61.214750166666676,60.22940978333334
AMBA-E007,5,AMBA-P064,59.22222414722223,PRIORIDAD_4_MEDIA_BAJA,68.05555555555556,49.0386,63.4549,62.9856,42.7083,59.54,67.60426777777778,44.771815000000004,57.94429066666667,57.41741588333333
