ranking_final_proyecto_v4,proyecto_id,escenario_id,tipo_escenario,dimension_dominante,prioridad_escenario,prioridad_territorial_v4,prioridad_operativa_v4,categoria_cartera_v4,linea_estrategica_v4,horizonte_intervencion_v4,score_final_proyecto_v4
1,AMBA-P005,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
2,AMBA-P008,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
3,AMBA-P012,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
4,AMBA-P013,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
5,AMBA-P016,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
6,AMBA-P019,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
7,AMBA-P021,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
8,AMBA-P023,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
9,AMBA-P024,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
10,AMBA-P036,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
