id_h3,operaciones_totales,ranking_operaciones,categoria_demanda,hora_pico,operaciones_hora_pico,perfil_temporal,modo_dominante,pct_modo_dominante,id_jurisdiccion_cercana,jurisdiccion_cercana,jurisdiccion_completa_cercana,provincia_id_cercana,provincia_cercana,provincia_original,categoria_jurisdiccion,categoria_original,distancia_jurisdiccion_m,distancia_menos_100,distancia_menos_500,distancia_menos_1000,diagnostico_proximidad
88c2e32003fffff,12,5732,DEMANDA_BAJA,19,7,VESPERTINO,COLECTIVO,100.0,060126,Campana,Municipio Campana,06,Buenos Aires,"{""id"": ""06"", ""interseccion"": 0.0, ""nombre"": ""Buenos Aires""}",Municipio,Municipio,0.9503975052443507,True,True,True,PEGADO_A_JURISDICCION
88c2e310d1fffff,2339,1015,DEMANDA_ALTA,8,273,DIURNO,COLECTIVO,100.0,022084,Comuna 12,Comuna 12,02,Ciudad Autónoma de Buenos Aires,"{""id"": ""02"", ""interseccion"": 0.0, ""nombre"": ""Ciudad Autónoma de Buenos Aires""}",Comuna,Comuna,1.539696867716329,True,True,True,PEGADO_A_JURISDICCION
88c2e3b843fffff,33,5108,DEMANDA_BAJA,4,13,MADRUGADA,COLECTIVO,100.0,060560,Moreno,Municipio Moreno,06,Buenos Aires,"{""id"": ""06"", ""interseccion"": 0.0, ""nombre"": ""Buenos Aires""}",Municipio,Municipio,1.7191446498325345,True,True,True,PEGADO_A_JURISDICCION
88c2e3c655fffff,2016,1183,DEMANDA_ALTA,7,226,DIURNO,COLECTIVO,100.0,060658,Quilmes,Municipio Quilmes,06,Buenos Aires,"{""id"": ""06"", ""interseccion"": 0.0, ""nombre"": ""Buenos Aires""}",Municipio,Municipio,2.3223718592474127,True,True,True,PEGADO_A_JURISDICCION
88c2e3d5d3fffff,8410,238,HOTSPOT_ALTO,7,810,DIURNO,COLECTIVO,100.0,060658,Quilmes,Municipio Quilmes,06,Buenos Aires,"{""id"": ""06"", ""interseccion"": 0.0, ""nombre"": ""Buenos Aires""}",Municipio,Municipio,5.6966968907442705,True,True,True,PEGADO_A_JURISDICCION
88c2e2ac95fffff,4308,503,DEMANDA_ALTA,16,549,DIURNO,COLECTIVO,97.7715877437326,060245,Ensenada,Municipio Ensenada,06,Buenos Aires,"{""id"": ""06"", ""interseccion"": 0.0, ""nombre"": ""Buenos Aires""}",Municipio,Municipio,6.796070483641976,True,True,True,PEGADO_A_JURISDICCION
88c2e31657fffff,168,3987,DEMANDA_MEDIA,11,48,DIURNO,COLECTIVO,100.0,060840,Tres de Febrero,Municipio Tres de Febrero,06,Buenos Aires,"{""id"": ""06"", ""interseccion"": 0.0, ""nombre"": ""Buenos Aires""}",Municipio,Municipio,7.137586546330782,True,True,True,PEGADO_A_JURISDICCION
88c2e32233fffff,197,3870,DEMANDA_MEDIA,16,24,VESPERTINO,COLECTIVO,87.30964467005076,060126,Campana,Municipio Campana,06,Buenos Aires,"{""id"": ""06"", ""interseccion"": 0.0, ""nombre"": ""Buenos Aires""}",Municipio,Municipio,7.764010968996959,True,True,True,PEGADO_A_JURISDICCION
88c2e38721fffff,1432,1595,DEMANDA_ALTA,12,169,MATUTINO,COLECTIVO,100.0,060539,Merlo,Municipio Merlo,06,Buenos Aires,"{""id"": ""06"", ""interseccion"": 0.0, ""nombre"": ""Buenos Aires""}",Municipio,Municipio,7.835397139423926,True,True,True,PEGADO_A_JURISDICCION
88c2e3c0dbfffff,1856,1282,DEMANDA_ALTA,12,206,DIURNO,COLECTIVO,100.0,060091,Berazategui,Municipio Berazategui,06,Buenos Aires,"{""id"": ""06"", ""interseccion"": 0.0, ""nombre"": ""Buenos Aires""}",Municipio,Municipio,8.2384033200194,True,True,True,PEGADO_A_JURISDICCION
