id_jurisdiccion_cercana,jurisdiccion_cercana,provincia_cercana,h3,operaciones,distancia_min_m,distancia_promedio_m,distancia_max_m
060658,Quilmes,Buenos Aires,9,21038,2.3223718592474127,268.81620674450835,768.5042423368744
060091,Berazategui,Buenos Aires,7,8671,8.2384033200194,110.89895635346963,362.84800595580754
060749,San Fernando,Buenos Aires,7,4743,14.424295780573177,141.16776665118337,371.30081963352376
060568,Morón,Buenos Aires,6,10153,10.118506150575612,75.08620087992806,220.7698058089316
060756,San Isidro,Buenos Aires,6,5638,92.16239627730572,229.8489238358505,395.0545867578339
060434,Lanús,Buenos Aires,5,9743,107.68016424642899,210.8830899871601,402.80128273093516
060245,Ensenada,Buenos Aires,5,6471,6.796070483641976,110.65124661387213,250.25732859562987
060274,Florencio Varela,Buenos Aires,4,25591,45.488641712872415,139.83046739823274,260.61167482979715
060805,Tigre,Buenos Aires,4,867,126.19097825589554,183.6572184451914,228.30168800845476
060126,Campana,Buenos Aires,4,238,0.9503975052443507,27.169281312621905,64.68889834306282
022091,Comuna 13,Ciudad Autónoma de Buenos Aires,3,8910,66.5958191608306,79.1975313449555,101.79186951213762
060410,Ituzaingó,Buenos Aires,3,4826,46.93017377534667,136.78146785330844,314.68297328858694
060840,Tres de Febrero,Buenos Aires,3,4394,7.137586546330782,38.13386802531385,88.08425638209107
022084,Comuna 12,Ciudad Autónoma de Buenos Aires,2,44088,1.539696867716329,7.838331480411406,14.136966093106484
022028,Comuna 4,Ciudad Autónoma de Buenos Aires,2,20429,26.37270007729176,132.06901651521224,237.76533295313274
060490,Lomas de Zamora,Buenos Aires,2,5547,17.827138467143147,37.27568954597185,56.72424062480056
022056,Comuna 8,Ciudad Autónoma de Buenos Aires,2,2661,33.838653881795565,113.07023445917918,192.3018150365628
060861,Vicente López,Buenos Aires,2,2373,359.2553128684425,406.86147996846705,454.4676470684916
022098,Comuna 14,Ciudad Autónoma de Buenos Aires,2,2117,52.87624920175322,249.5724677681755,446.26868633459776
060539,Merlo,Buenos Aires,2,1910,7.835397139423926,9.872949430790838,11.910501722157749
022021,Comuna 3,Ciudad Autónoma de Buenos Aires,1,20055,26.191206440801672,26.191206440801672,26.191206440801672
022014,Comuna 2,Ciudad Autónoma de Buenos Aires,1,1341,88.48418477928104,88.48418477928104,88.48418477928104
060035,Avellaneda,Buenos Aires,1,1303,22.554588667449742,22.554588667449742,22.554588667449742
060427,La Matanza,Buenos Aires,1,718,18.66139106083157,18.66139106083157,18.66139106083157
060028,Almirante Brown,Buenos Aires,1,373,58.863789063411524,58.863789063411524,58.863789063411524
060260,Esteban Echeverría,Buenos Aires,1,189,125.81625462007122,125.81625462007122,125.81625462007122
060497,Luján,Buenos Aires,1,78,38.63817399670432,38.63817399670432,38.63817399670432
060270,Ezeiza,Buenos Aires,1,74,8.753381050899028,8.753381050899028,8.753381050899028
060560,Moreno,Buenos Aires,1,33,1.7191446498325345,1.7191446498325345,1.7191446498325345
060252,Escobar,Buenos Aires,1,13,10.576106682385868,10.576106682385868,10.576106682385868
