osm_type,osm_id,osm_key,nombre,nombre_normalizado,operador,tipo_infraestructura,modo_principal,categoria_intermodal,capacidad,railway,amenity,public_transport,network,brand,operator,ref,wikidata,website,osm_ids,cantidad_elementos_osm,es_ferrocarril,es_subte,es_autobus,es_fluvial,es_tranvia,es_multimodal,score_infraestructura
node,3651119570,node/3651119570,San Isidro C,san isidro c,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"30418815,3448079332,3651119570",3,1,0,0,0,0,0,1.0
node,2809270698,node/2809270698,Martínez,martinez,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"2809270698,30419055,3448079323",3,1,0,0,0,0,0,1.0
node,2809271009,node/2809271009,La Lucila,la lucila,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"2809271009,30419059,3448079322",3,1,0,0,0,0,0,1.0
node,2809271021,node/2809271021,Olivos,olivos,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"2809271021,30419065,3448079325",3,1,0,0,0,0,0,1.0
node,3448079333,node/3448079333,Vicente López,vicente lopez,,ESTACION_FERROVIARIA,FERROCARRIL,FERROVIARIO,,station,,station,,,,,,,"2809271037,30419070,3448079333",3,1,0,0,0,0,0,1.0
node,3448079330,node/3448079330,Rivadavia,rivadavia,Trenes Argentinos,ESTACION_FERROVIARIA,FERROCARRIL,FERROVIARIO,,station,,station,Mitre,,Trenes Argentinos,,Q5844527,,"30419076,3338709509,3448079330",3,1,0,0,0,0,0,1.0
node,2809270635,node/2809270635,Virreyes,virreyes,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"2809270635,31065496,3448079335",3,1,0,0,0,0,0,1.0
node,31065589,node/31065589,Tigre,tigre,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"1544877302,1592647425,31065589,4760953050,5082857930",5,1,0,0,0,0,0,1.0
node,2809270617,node/2809270617,Carupá,carupa,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"2809270617,31065595,3448079320",3,1,0,0,0,0,0,1.0
node,4865564995,node/4865564995,Chorroarín y Ávalos,chorroarin y avalos,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"10679730360,10679730361,4865564995,82565681",4,0,0,0,0,0,0,0.0
node,82582305,node/82582305,Estación Urquiza,estacion urquiza,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"3268338454,82582305,9676169115,9676169116",4,0,0,0,0,0,0,0.0
node,84556661,node/84556661,Colegiales,colegiales,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"1592676198,3449432058,84556661",3,1,0,0,0,0,0,1.0
node,2151543858,node/2151543858,Pueyrredón,pueyrredon,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"2151543858,84557448",2,1,0,0,0,0,0,1.0
node,1534661450,node/1534661450,Devoto,devoto,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"1534661450,2623925327,2623937705,3451071465,89332696",5,1,0,0,0,0,0,1.0
node,1534667821,node/1534667821,Sáenz Peña,saenz pena,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"1534667821,2623943634,2623943655,3451071476,89332701",5,1,0,0,0,0,0,1.0
node,5122685094,node/5122685094,Borges,borges,Trenes Argentinos,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,halt,,station,Mitre,,Trenes Argentinos,,Q5841190,,"108260640,5122685094,925962341",3,1,0,0,0,0,0,1.0
node,1432924995,node/1432924995,Juan Anchorena,juan anchorena,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"108260648,1432924995,5123250007",3,1,0,0,0,0,0,1.0
node,108260652,node/108260652,Punta Chica,punta chica,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"108260652,2561133552,5123249958",3,1,0,0,0,0,0,1.0
node,108267209,node/108267209,San Isidro R,san isidro r,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"108267209,2169675628,5123249990",3,1,0,0,0,0,0,1.0
node,5295008022,node/5295008022,Paseo de las Américas,paseo de las americas,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"177188680,5295008021,5295008022,5295008023",4,0,0,0,0,0,0,0.0
node,10910591145,node/10910591145,Humberto I,humberto i,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"10910591139,10910591145,10910591153,10910591154,10910591159,10910591160,1493476694,180484518",8,0,0,0,0,0,0,0.0
node,181154481,node/181154481,Plaza Alemania,plaza alemania,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"181154481,3451485317",2,0,0,0,0,0,0,0.0
node,196280578,node/196280578,Libertador y Virrey del Pino,libertador y virrey del pino,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"196280578,3115195264",2,0,0,0,0,0,0,0.0
node,6839233080,node/6839233080,Patricias Argentinas y Ángel Gallardo,patricias argentinas y angel gallardo,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"199475764,5397451191,5397451192,6839233080",4,0,0,0,0,0,0,0.0
node,7111375295,node/7111375295,Montes de Oca y Uspallata,montes de oca y uspallata,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"206114760,7111375294,7111375295,7111375296",4,0,0,0,0,0,0,0.0
node,4241980347,node/4241980347,Liniers,liniers,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"206140261,3456010440,4241980347",3,1,0,0,0,0,0,1.0
