intercambiador_id,cantidad_infraestructura,cantidad_modos,modos,nombre_referencias,radio_cluster_m,ferrocarril,subte,autobus,fluvial,tranvia,score_intercambiador
1,19,2,AUTOBUS|FERROCARRIL,San Isidro C | Est. San Isidro | Terminal San Isidro | Marquez y Centenario | Disco San Isidro | Municipalidad de San Isidro | Centenario y Primera Junta | Estación San Isidro | Palma y Centenario | Centenario y 3 de Febrero,460.0299165979217,1,0,1,0,0,65.0
2,3,2,AUTOBUS|FERROCARRIL,Martínez,6.220894675801833,1,0,1,0,0,41.0
3,5,2,AUTOBUS|FERROCARRIL,La Lucila | Estación La Lucila | Rawson y Anchorena,129.0831758303568,1,0,1,0,0,45.0
4,7,2,AUTOBUS|FERROCARRIL,Olivos | Libertador y Corrientes | Estación Olivos | Sturiza y Rosales,136.97535040559575,1,0,1,0,0,49.0
5,11,2,AUTOBUS|FERROCARRIL,Vicente López | Est. Vicente López | Azcuénaga y Roca | Estación Vicente López | Melgar y Segurola | Azcuénaga y Güemes | Libertador y Melo | Libertador y Roca,291.4507248433454,1,0,1,0,0,57.0
6,10,2,AUTOBUS|FERROCARRIL,Rivadavia | Estación Rivadavia | Escuela Raggio | Est. Rivadavia | Libertador y Pico,118.64264906994947,1,0,1,0,0,55.0
7,5,2,AUTOBUS|FERROCARRIL,Virreyes | Terminal de Ómnibus E.C.S.F.,66.42065062123687,1,0,1,0,0,45.0
8,15,3,AUTOBUS|FERROCARRIL|FLUVIAL,Tigre | Estación Tigre | Estación Fluvial | Catamaranes Tigre | Cazón y Montes de Oca | Cazón y Bourdieu | Puente Sacriste | Estación Fluvial Domingo Faustino Sarmiento | Estación Fluvial Internacional Tigre,221.86961078950202,1,0,1,1,0,82.5
9,3,2,AUTOBUS|FERROCARRIL,Carupá,8.60292382395367,1,0,1,0,0,41.0
10,21,3,AUTOBUS|FERROCARRIL|SUBTE,Estación Urquiza | Juan Manuel de Rosas | General Urquiza | Monroe y Díaz Colodrero | Triunvirato y Olazábal | Díaz Colodrero y Cullen | Monroe y Pacheco | Est. J.M.Rosas | Roosevelt y Bucarelli | Bucarelli y Blanco Encalada,296.40036782494616,1,1,1,0,0,82.5
11,3,2,AUTOBUS|FERROCARRIL,Colegiales,9.30945927717672,1,0,1,0,0,41.0
12,9,2,AUTOBUS|FERROCARRIL,Pueyrredón | Griveo y Artigas | General Juan Martín de Pueyrredón | Artigas y Griveo | Ladines y Artigas | Artigas y San Alberto | Estación Pueyrredón,204.67629077532905,1,0,1,0,0,53.0
13,18,2,AUTOBUS|FERROCARRIL,Devoto | Est. Devoto (FCSM) | Sanabria y Del Carril | Nueva York y Gualeguaychú | Nueva York y Sanabria | Plaza Arenales sur | Gutiérrez y Nueva York | Nueva York y Enciso | Nueva York y Fernández de Enciso | Segurola y Pedro Morán,250.97007181625347,1,0,1,0,0,65.0
14,10,2,AUTOBUS|FERROCARRIL,Sáenz Peña | Barrera Sáenz Peña | Est. Sáenz Peña | Chile y Nuestra Señora del Carmen | San Pedro y Las Heras | Las Heras y San Pedro,191.44116866718016,1,0,1,0,0,55.0
15,9,2,AUTOBUS|FERROCARRIL,Borges | Plaza Vicente López y Planes | Alberdi y Estrada | Alberdi y Wineberg | Rioja y Alberdi | Tren de la Costa,225.9699006266026,1,0,1,0,0,53.0
16,4,2,AUTOBUS|FERROCARRIL,Juan Anchorena | Tren de la Costa,31.758976912016077,1,0,1,0,0,43.0
17,4,2,AUTOBUS|FERROCARRIL,Punta Chica | Tren de la Costa,40.18778952174111,1,0,1,0,0,43.0
18,5,2,AUTOBUS|FERROCARRIL,San Isidro R | Pedro de Mendoza y Centenera | Tren de la Costa,117.70931655665149,1,0,1,0,0,45.0
19,76,2,AUTOBUS|FERROCARRIL,Patricias Argentinas y Ángel Gallardo | Ángel Gallardo | Malabia - Osvaldo Pugliese | Camargo y Juan B. Justo | Camargo y Serrano | Corrientes | Malabia y Corrientes | Acevedo y Corrientes | Thames y Corrientes | Hospital de Oncología,1084.277217917317,1,0,1,0,0,65.0
20,24,2,AUTOBUS|FERROCARRIL,Liniers | Madero y Juan B. Justo | J.B. Justo y Gana | Carrefour | Avenida Juan B. Justo | General Paz y Juan B. Justo | Gana y Bynon | Terminal 106 Liniers | Juan B. Justo y Gallardo | Gallardo,466.0150064522046,1,0,1,0,0,65.0
21,27,2,AUTOBUS|FERROCARRIL,Merlo | Perón y Colón | Perón y Sarandí | Perón y Libertador | Libertador y Perón | Libertador y Suipacha | Moreno y Salta | Estación Merlo | Barrera Libertad | Balbín y Jujuy,477.9590011311646,1,0,1,0,0,65.0
22,8,2,AUTOBUS|FERROCARRIL,Castelar | Estación Castelar,137.31187290239546,1,0,1,0,0,51.0
23,2,2,AUTOBUS|FERROCARRIL,Morón,1.7294590468062008,1,0,1,0,0,39.0
24,4,2,AUTOBUS|FERROCARRIL,Villa Soldati | 2991 General Fructuoso Rivera | a González Catán | a Doctor Antonio Sáenz,112.78205697317541,1,0,1,0,0,43.0
25,2,2,AUTOBUS|FERROCARRIL,Presidente Illia | a González Catán,2.5059071078819604,1,0,1,0,0,39.0
26,37,3,AUTOBUS|FERROCARRIL|SUBTE,Hospital Churruca | Parque Patricios | Boedo | Deán Funes y Caseros | Deán Funes / Zavaleta | La Rioja / Monteagudo | Parque de los Patricios | Plazoleta Coronel Pringles | La Rioja y Caseros | Caseros y Virrey Liniers,653.5826050391092,1,1,1,0,0,82.5
27,3,2,AUTOBUS|FERROCARRIL,Flores,8.183487431459477,1,0,1,0,0,41.0
28,8,2,AUTOBUS|FERROCARRIL,Lynch | Coronel Lynch | Segurola y Mosconi | Segurola y Mistral,271.66251049290906,1,0,1,0,0,51.0
29,11,2,AUTOBUS|FERROCARRIL,Villa Lugano | Lugano | Dellepiane y Murguiondo | Dellepiane Sur y Murguiondo | Plaza Nicolás Granada | Somellera y Murguiondo | Aquino y Murguiondo | Zelarrayan y Murguiondo | Murguiondo 4050 | a González Catán,273.29879698468295,1,0,1,0,0,57.0
30,8,2,AUTOBUS|FERROCARRIL,Sarandí | Mitre y Suipichise | Estación Sarandí | Mitre y Cucha Cucha | Mitre y Mujeres Argentinas | Escalada y Mitre,255.93851341086534,1,0,1,0,0,51.0
31,8,2,AUTOBUS|FERROCARRIL,Berazategui | Estación Berazategui | Cristalería Rigolleau,203.22990349300207,1,0,1,0,0,51.0
32,5,2,AUTOBUS|FERROCARRIL,Plátanos | Estación Plátanos,58.67460101884275,1,0,1,0,0,45.0
33,3,2,AUTOBUS|FERROCARRIL,Pereyra,6.486933060033403,1,0,1,0,0,41.0
34,12,2,AUTOBUS|FERROCARRIL,Villa Elisa | Estación Villa Elisa | a Constitución | a La Plata,135.90157669239724,1,0,1,0,0,59.0
35,4,2,AUTOBUS|FERROCARRIL,Ringuelet | Linea NORTE,103.7760325526737,1,0,1,0,0,43.0
36,5,2,AUTOBUS|FERROCARRIL,Tolosa,26.000766717338944,1,0,1,0,0,45.0
37,8,2,AUTOBUS|FERROCARRIL,Glew | Estación Glew | Est. Glew | Terminal Línea 404,113.40610453850283,1,0,1,0,0,51.0
38,16,2,AUTOBUS|FERROCARRIL,Ezeiza | Estación Ezeiza | Ruta 205 y Laure | Est. Ezeiza | French y Perón | French y Centenario | Centenario y Balcarce | Ruta 205 y Zenavila,303.7084742768107,1,0,1,0,0,65.0
39,22,2,AUTOBUS|FERROCARRIL,Marinos del Fournier | Estación Fournier | Rivera y Paunero | Rivera y Constituyentes | Rivera y Pedernera | Cabildo y Rivera | General Pintos y Cabildo | Balanco Encalada y Pedernera | Balanco Encalada y Paunero | Pedernera y Araoz,769.6952250280882,1,0,1,0,0,65.0
40,5,2,AUTOBUS|FERROCARRIL,William Morris | William Case Morris | William C. Morris,70.292471889888,1,0,1,0,0,45.0
41,3,2,AUTOBUS|FERROCARRIL,Villa Astolfi,6.971445170582769,1,0,1,0,0,41.0
42,13,2,AUTOBUS|FERROCARRIL,General Lemos | Lemos / Ruta 8 | Estación General Lemos | Estación Lemos | Illia y Binda | Parador Larga Distancia Lemos,129.49436274748822,1,0,1,0,0,61.0
43,2,2,AUTOBUS|FERROCARRIL,Juan B. de La Salle,2.758842743588809,1,0,1,0,0,39.0
44,3,2,AUTOBUS|FERROCARRIL,Saldías,6.192281753046693,1,0,1,0,0,41.0
45,4,2,AUTOBUS|TRANVIA,Balbastro | Balbastro - Cementerio de Flores | Balbastro y Lafuente,98.20137738351596,0,0,1,0,1,43.0
46,5,2,AUTOBUS|TRANVIA,Mariano Acosta | Mariano Acosta - Barrio Ramón Carrillo | Avenida Castañares,7.802615057678949,0,0,1,0,1,45.0
47,9,2,AUTOBUS|TRANVIA,Nuestra Señora de Fátima | Ana María Janer | Janer y Acosta,82.68671462569509,0,0,1,0,1,53.0
48,4,2,AUTOBUS|TRANVIA,Gabino Ezeiza | Roca y Larrazábal,70.32636176113995,0,0,1,0,1,43.0
49,5,2,AUTOBUS|FERROCARRIL,Juan B. Justo | Estación Juan B. Justo | Laprida y Valle Grande,159.00442338528774,1,0,1,0,0,45.0
50,5,2,AUTOBUS|FERROCARRIL,Las Barrancas | Elcano y Aguirre | Tren de la Costa,89.18440134988687,1,0,1,0,0,45.0
51,3,2,AUTOBUS|FERROCARRIL,Tierras Altas,7.095680367741139,1,0,1,0,0,41.0
52,5,2,AUTOBUS|FERROCARRIL,Don Torcuato | Est. Don Torcuato | Estación Don Torcuato,42.92706841837838,1,0,1,0,0,45.0
53,4,2,AUTOBUS|FERROCARRIL,Vicealmirante Montes | Est. Vicealmirante Montes,64.44247985743996,1,0,1,0,0,43.0
54,8,2,AUTOBUS|FERROCARRIL,Boulogne Sur Mer | Est. Boulogne | Estación Boulogne,108.06899550292886,1,0,1,0,0,51.0
55,12,2,AUTOBUS|FERROCARRIL,Villa Adelina | Independencia / A. Guido | V. Vertiz / R. Rojas | Est. Villa Adelina | Avenida de Mayo y V. Vértiz | Estación Villa Adelina | Quiroga - Martín Rodríguez | Rodríguez y Paraná | Virrey Vértiz y El Indio,249.98364757125762,1,0,1,0,0,59.0
56,10,2,AUTOBUS|FERROCARRIL,Munro | Marconi y Alem | Marconi y Rivadavia | Hernández y Armenia | Belgrano y Marconi | Vélez Sarsfield | Marconi y Armenia,294.6173013048499,1,0,1,0,0,55.0
57,4,2,AUTOBUS|FERROCARRIL,Padilla | Lavalle y Del Campo,96.42530241356539,1,0,1,0,0,43.0
