id_h3,operaciones_totales,ranking_perfil,percentil_demanda,categoria_demanda,hora_pico,operaciones_hora_pico,pct_hora_pico,franja_dominante,perfil_temporal,modo_dominante,pct_modo_dominante,cantidad_modos,indice_dominancia_modal,perfil_nodo,prioridad_analitica
88c2e31101fffff,385544,1,100.0,HOTSPOT_EXTREMO,8,57152,14.82372958728446,MANANA,MATUTINO,TREN,59.779428547714396,3,0.597794285477144,HOTSPOT_EXTREMO_MATUTINO,PRIORIDAD_MUY_ALTA
88c2e31113fffff,187709,2,99.9852616064849,HOTSPOT_EXTREMO,17,16328,8.698570659904426,MEDIODIA,DIURNO,TREN,50.52501478352131,3,0.505250147835213,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e38ccdfffff,134803,3,99.97052321296978,HOTSPOT_EXTREMO,18,12193,9.045050926166331,MEDIODIA,DIURNO,COLECTIVO,57.69975445650319,2,0.5769975445650319,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3c6d3fffff,123220,4,99.95578481945469,HOTSPOT_EXTREMO,17,11209,9.09673754260672,MEDIODIA,DIURNO,COLECTIVO,64.46518422334037,2,0.6446518422334038,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3ba6bfffff,113887,5,99.94104642593958,HOTSPOT_EXTREMO,18,10501,9.220543169984282,MEDIODIA,DIURNO,COLECTIVO,52.16925549009106,2,0.5216925549009106,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3895dfffff,107844,6,99.92630803242447,HOTSPOT_EXTREMO,17,10318,9.567523459812321,MEDIODIA,DIURNO,TREN,50.074181224732015,2,0.5007418122473202,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31ad1fffff,99078,7,99.91156963890936,HOTSPOT_EXTREMO,17,12414,12.529522194634529,TARDE,VESPERTINO,TREN,47.106320272916285,3,0.47106320272916286,HOTSPOT_EXTREMO_VESPERTINO,PRIORIDAD_MUY_ALTA
88c2e312d9fffff,95342,8,99.89683124539425,HOTSPOT_EXTREMO,7,11966,12.550607287449392,MANANA,MATUTINO,COLECTIVO,61.19233915797865,2,0.6119233915797865,HOTSPOT_EXTREMO_MATUTINO,PRIORIDAD_MUY_ALTA
88c2e3b135fffff,93481,9,99.88209285187915,HOTSPOT_EXTREMO,18,8001,8.558958504936832,MEDIODIA,DIURNO,COLECTIVO,52.989377520565675,2,0.5298937752056567,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e310adfffff,90242,10,99.86735445836405,HOTSPOT_EXTREMO,8,9375,10.38873251922608,MANANA,MATUTINO,TREN,44.245473282950286,3,0.4424547328295029,HOTSPOT_EXTREMO_MATUTINO,PRIORIDAD_MUY_ALTA
88c2e31ad7fffff,89427,11,99.85261606484893,HOTSPOT_EXTREMO,17,8409,9.403200375725453,MANANA,MATUTINO,TREN,59.208069151374865,2,0.5920806915137486,HOTSPOT_EXTREMO_MATUTINO,PRIORIDAD_MUY_ALTA
88c2e3aa11fffff,75833,12,99.83787767133383,HOTSPOT_EXTREMO,17,7034,9.275645167671067,MEDIODIA,DIURNO,COLECTIVO,58.20816794799099,2,0.5820816794799099,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31183fffff,73461,13,99.82313927781871,HOTSPOT_EXTREMO,17,6946,9.455357264398796,MEDIODIA,DIURNO,COLECTIVO,57.566599964607065,3,0.5756659996460707,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e38dc1fffff,59427,14,99.80840088430362,HOTSPOT_EXTREMO,7,5060,8.514648223871305,MEDIODIA,DIURNO,COLECTIVO,61.59153246840662,2,0.6159153246840662,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e398a7fffff,58830,15,99.7936624907885,HOTSPOT_EXTREMO,18,5197,8.833928267890533,MEDIODIA,DIURNO,TREN,50.14448410674825,2,0.5014448410674825,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3c737fffff,58414,16,99.7789240972734,HOTSPOT_EXTREMO,17,5289,9.054336289245729,MEDIODIA,DIURNO,COLECTIVO,64.30650186599102,2,0.6430650186599103,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31317fffff,54584,17,99.76418570375829,HOTSPOT_EXTREMO,17,4970,9.105232302506229,MEDIODIA,DIURNO,COLECTIVO,74.21955151692804,2,0.7421955151692804,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3d513fffff,50584,18,99.74944731024318,HOTSPOT_EXTREMO,18,4393,8.684564289103273,MEDIODIA,DIURNO,COLECTIVO,69.1641625810533,2,0.691641625810533,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31133fffff,48707,19,99.73470891672808,HOTSPOT_EXTREMO,17,5137,10.546738661793993,MEDIODIA,DIURNO,COLECTIVO,57.80688607387029,2,0.5780688607387029,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3b137fffff,46510,20,99.71997052321298,HOTSPOT_EXTREMO,18,3921,8.430445065577295,MEDIODIA,DIURNO,COLECTIVO,100.0,1,1.0,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3d699fffff,44338,21,99.70523212969786,HOTSPOT_EXTREMO,17,3984,8.9855203211692,MEDIODIA,DIURNO,TREN,52.438089223690746,2,0.5243808922369074,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e30243fffff,43621,22,99.69049373618276,HOTSPOT_EXTREMO,18,3851,8.828316636482429,MEDIODIA,DIURNO,COLECTIVO,64.89305609683409,2,0.6489305609683409,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31053fffff,42631,23,99.67575534266764,HOTSPOT_EXTREMO,17,3863,9.061481081841851,MEDIODIA,DIURNO,COLECTIVO,44.162698505782174,3,0.4416269850578217,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31007fffff,42080,24,99.66101694915255,HOTSPOT_EXTREMO,18,3594,8.540874524714829,MEDIODIA,DIURNO,COLECTIVO,65.58222433460075,2,0.6558222433460075,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e30219fffff,41749,25,99.64627855563744,HOTSPOT_EXTREMO,7,4121,9.87089511126015,MANANA,MATUTINO,COLECTIVO,62.97875398213131,2,0.6297875398213131,HOTSPOT_EXTREMO_MATUTINO,PRIORIDAD_MUY_ALTA
88c2e3b997fffff,41663,26,99.63154016212233,HOTSPOT_EXTREMO,17,3650,8.76077094784341,MEDIODIA,DIURNO,COLECTIVO,52.92945779228572,2,0.5292945779228572,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e39945fffff,41188,27,99.61680176860722,HOTSPOT_EXTREMO,17,3547,8.611731572302613,MEDIODIA,DIURNO,TREN,62.01320773040692,2,0.6201320773040692,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3105bfffff,40786,28,99.60206337509211,HOTSPOT_EXTREMO,17,4633,11.35928995243466,MEDIODIA,DIURNO,COLECTIVO,58.806943559064386,2,0.5880694355906438,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e311e1fffff,37776,29,99.58732498157701,HOTSPOT_EXTREMO,12,3528,9.339263024142312,MEDIODIA,DIURNO,COLECTIVO,77.82983905124948,2,0.7782983905124948,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31135fffff,37499,30,99.57258658806191,HOTSPOT_EXTREMO,17,5269,14.051041361102962,TARDE,VESPERTINO,COLECTIVO,62.26566041761114,2,0.6226566041761114,HOTSPOT_EXTREMO_VESPERTINO,PRIORIDAD_MUY_ALTA
88c2e389d3fffff,37486,31,99.55784819454679,HOTSPOT_EXTREMO,7,4137,11.036120151523235,MANANA,MATUTINO,COLECTIVO,100.0,1,1.0,HOTSPOT_EXTREMO_MATUTINO,PRIORIDAD_MUY_ALTA
88c2e30241fffff,36450,32,99.54310980103169,HOTSPOT_EXTREMO,17,3359,9.215363511659808,MEDIODIA,DIURNO,COLECTIVO,80.24142661179698,2,0.8024142661179698,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31095fffff,35838,33,99.52837140751657,HOTSPOT_EXTREMO,8,4056,11.317595847982588,MEDIODIA,DIURNO,SUBTE,39.15397064568335,3,0.3915397064568335,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e2acd3fffff,35759,34,99.51363301400148,HOTSPOT_EXTREMO,13,3322,9.289968958863502,MEDIODIA,DIURNO,COLECTIVO,100.0,1,1.0,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e311e3fffff,35368,35,99.49889462048637,HOTSPOT_EXTREMO,16,2978,8.420040714770414,MEDIODIA,DIURNO,COLECTIVO,71.1999547613662,2,0.711999547613662,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31131fffff,34898,36,99.48415622697127,HOTSPOT_EXTREMO,17,4358,12.487821651670583,TARDE,VESPERTINO,COLECTIVO,59.18390738724282,2,0.5918390738724282,HOTSPOT_EXTREMO_VESPERTINO,PRIORIDAD_MUY_ALTA
88c2e31addfffff,34100,37,99.46941783345615,HOTSPOT_EXTREMO,17,5189,15.217008797653959,TARDE,VESPERTINO,COLECTIVO,93.43695014662757,2,0.9343695014662756,HOTSPOT_EXTREMO_VESPERTINO,PRIORIDAD_MUY_ALTA
88c2e311e5fffff,33820,38,99.45467943994105,HOTSPOT_EXTREMO,16,3285,9.713187463039622,MEDIODIA,DIURNO,COLECTIVO,80.49379065641632,2,0.8049379065641632,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31139fffff,33425,39,99.43994104642594,HOTSPOT_EXTREMO,17,4502,13.468960359012716,MEDIODIA,DIURNO,COLECTIVO,64.5056095736724,2,0.6450560957367241,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e39a95fffff,33121,40,99.42520265291084,HOTSPOT_EXTREMO,17,2777,8.384408683312703,MEDIODIA,DIURNO,TREN,69.56613628815556,2,0.6956613628815557,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e311edfffff,32433,41,99.41046425939572,HOTSPOT_EXTREMO,16,2939,9.061758085900165,MEDIODIA,DIURNO,COLECTIVO,65.37168932877007,2,0.6537168932877008,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e2ac99fffff,31695,42,99.39572586588062,HOTSPOT_EXTREMO,13,2822,8.903612557185676,MEDIODIA,DIURNO,TREN,54.11894620602619,2,0.5411894620602619,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e38903fffff,30791,43,99.38098747236552,HOTSPOT_EXTREMO,17,2808,9.119547919846708,MEDIODIA,DIURNO,TREN,72.2029164366211,2,0.7220291643662109,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31acbfffff,30530,44,99.36624907885042,HOTSPOT_EXTREMO,17,4125,13.511300360301343,TARDE,VESPERTINO,COLECTIVO,59.63642319030462,2,0.5963642319030462,HOTSPOT_EXTREMO_VESPERTINO,PRIORIDAD_MUY_ALTA
88c2e3993dfffff,29884,45,99.3515106853353,HOTSPOT_EXTREMO,7,2930,9.804577700441708,MEDIODIA,DIURNO,TREN,76.61959577031188,2,0.7661959577031188,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3aa6dfffff,29695,46,99.3367722918202,HOTSPOT_EXTREMO,17,3352,11.288095638996463,MEDIODIA,DIURNO,COLECTIVO,100.0,1,1.0,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31181fffff,29476,47,99.32203389830508,HOTSPOT_EXTREMO,17,2563,8.695209662097977,MEDIODIA,DIURNO,COLECTIVO,75.64459221061203,2,0.7564459221061203,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3c0c3fffff,28802,48,99.30729550478998,HOTSPOT_EXTREMO,17,2480,8.610513158808416,MEDIODIA,DIURNO,TREN,52.70120130546489,2,0.527012013054649,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3173dfffff,28727,49,99.29255711127487,HOTSPOT_EXTREMO,17,2978,10.366554112855502,MEDIODIA,DIURNO,COLECTIVO,62.91293904688968,2,0.6291293904688968,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31195fffff,28446,50,99.27781871775977,HOTSPOT_EXTREMO,17,2413,8.482739225198623,MEDIODIA,DIURNO,COLECTIVO,100.0,1,1.0,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3a855fffff,28222,51,99.26308032424465,HOTSPOT_EXTREMO,17,2574,9.120544256253986,MEDIODIA,DIURNO,TREN,63.65601303947275,2,0.6365601303947275,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e311dbfffff,27952,52,99.24834193072955,HOTSPOT_EXTREMO,17,2604,9.315970234688036,TARDE,VESPERTINO,COLECTIVO,43.0022896393818,3,0.430022896393818,HOTSPOT_EXTREMO_VESPERTINO,PRIORIDAD_MUY_ALTA
88c2e385b7fffff,27808,53,99.23360353721445,HOTSPOT_EXTREMO,18,2380,8.558688147295742,MEDIODIA,DIURNO,TREN,58.195483314154195,2,0.581954833141542,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e30247fffff,27796,54,99.21886514369935,HOTSPOT_EXTREMO,17,3050,10.972801841991654,TARDE,VESPERTINO,COLECTIVO,55.61591595913081,2,0.5561591595913081,HOTSPOT_EXTREMO_VESPERTINO,PRIORIDAD_MUY_ALTA
88c2e3a943fffff,27723,55,99.20412675018423,HOTSPOT_EXTREMO,17,3100,11.182051004581034,TARDE,VESPERTINO,COLECTIVO,100.0,1,1.0,HOTSPOT_EXTREMO_VESPERTINO,PRIORIDAD_MUY_ALTA
88c2e315d5fffff,27680,56,99.18938835666913,HOTSPOT_EXTREMO,7,2583,9.33164739884393,MEDIODIA,DIURNO,COLECTIVO,52.71315028901734,2,0.5271315028901734,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31185fffff,27616,57,99.17464996315401,HOTSPOT_EXTREMO,17,2364,8.560254924681345,MEDIODIA,DIURNO,COLECTIVO,72.16830822711472,2,0.7216830822711472,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e381d5fffff,27063,58,99.15991156963891,HOTSPOT_EXTREMO,17,2587,9.559176735764698,MEDIODIA,DIURNO,TREN,55.83268669401027,2,0.5583268669401027,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
