id_h3,provincia,jurisdiccion,operaciones_totales,categoria_demanda,hora_pico,modo_dominante,metodo_asignacion,distancia_asignacion_m
88c2e31101fffff,Ciudad Autónoma de Buenos Aires,Comuna 1,385544,HOTSPOT_EXTREMO,8,TREN,REPRESENTATIVE_POINT,
88c2e31113fffff,Ciudad Autónoma de Buenos Aires,Comuna 3,187709,HOTSPOT_EXTREMO,17,TREN,REPRESENTATIVE_POINT,
88c2e38ccdfffff,Buenos Aires,Morón,134803,HOTSPOT_EXTREMO,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3c6d3fffff,Buenos Aires,Lanús,123220,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3ba6bfffff,Buenos Aires,Merlo,113887,HOTSPOT_EXTREMO,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3895dfffff,Buenos Aires,Lomas de Zamora,107844,HOTSPOT_EXTREMO,17,TREN,REPRESENTATIVE_POINT,
88c2e31ad1fffff,Ciudad Autónoma de Buenos Aires,Comuna 1,99078,HOTSPOT_EXTREMO,17,TREN,REPRESENTATIVE_POINT,
88c2e312d9fffff,Ciudad Autónoma de Buenos Aires,Comuna 9,95342,HOTSPOT_EXTREMO,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3b135fffff,Buenos Aires,Moreno,93481,HOTSPOT_EXTREMO,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e310adfffff,Ciudad Autónoma de Buenos Aires,Comuna 15,90242,HOTSPOT_EXTREMO,8,TREN,REPRESENTATIVE_POINT,
88c2e31ad7fffff,Ciudad Autónoma de Buenos Aires,Comuna 1,89427,HOTSPOT_EXTREMO,17,TREN,REPRESENTATIVE_POINT,
88c2e3aa11fffff,Buenos Aires,José C. Paz,75833,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31183fffff,Ciudad Autónoma de Buenos Aires,Comuna 14,73461,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e38dc1fffff,Buenos Aires,La Matanza,59427,HOTSPOT_EXTREMO,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e398a7fffff,Buenos Aires,Esteban Echeverría,58830,HOTSPOT_EXTREMO,18,TREN,REPRESENTATIVE_POINT,
88c2e3c737fffff,Buenos Aires,Quilmes,58414,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31317fffff,Ciudad Autónoma de Buenos Aires,Comuna 4,54584,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3d513fffff,Buenos Aires,Florencio Varela,50584,HOTSPOT_EXTREMO,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31133fffff,Ciudad Autónoma de Buenos Aires,Comuna 1,48707,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3b137fffff,Buenos Aires,Moreno,46510,HOTSPOT_EXTREMO,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3d699fffff,Buenos Aires,Almirante Brown,44338,HOTSPOT_EXTREMO,17,TREN,REPRESENTATIVE_POINT,
88c2e30243fffff,Ciudad Autónoma de Buenos Aires,Comuna 13,43621,HOTSPOT_EXTREMO,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31053fffff,Ciudad Autónoma de Buenos Aires,Comuna 7,42631,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31007fffff,Ciudad Autónoma de Buenos Aires,Comuna 6,42080,HOTSPOT_EXTREMO,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e30219fffff,Ciudad Autónoma de Buenos Aires,Comuna 12,41749,HOTSPOT_EXTREMO,7,COLECTIVO,INTERSECCION_MAYOR_AREA,
88c2e3b997fffff,Buenos Aires,San Miguel,41663,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e39945fffff,Buenos Aires,Almirante Brown,41188,HOTSPOT_EXTREMO,17,TREN,REPRESENTATIVE_POINT,
88c2e3105bfffff,Ciudad Autónoma de Buenos Aires,Comuna 7,40786,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e311e1fffff,Ciudad Autónoma de Buenos Aires,Comuna 2,37776,HOTSPOT_EXTREMO,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31135fffff,Ciudad Autónoma de Buenos Aires,Comuna 1,37499,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e389d3fffff,Buenos Aires,Lomas de Zamora,37486,HOTSPOT_EXTREMO,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e30241fffff,Ciudad Autónoma de Buenos Aires,Comuna 13,36450,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31095fffff,Ciudad Autónoma de Buenos Aires,Comuna 12,35838,HOTSPOT_EXTREMO,8,SUBTE,REPRESENTATIVE_POINT,
88c2e2acd3fffff,Buenos Aires,La Plata,35759,HOTSPOT_EXTREMO,13,COLECTIVO,REPRESENTATIVE_POINT,
88c2e311e3fffff,Ciudad Autónoma de Buenos Aires,Comuna 2,35368,HOTSPOT_EXTREMO,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31131fffff,Ciudad Autónoma de Buenos Aires,Comuna 1,34898,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31addfffff,Ciudad Autónoma de Buenos Aires,Comuna 1,34100,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e311e5fffff,Ciudad Autónoma de Buenos Aires,Comuna 2,33820,HOTSPOT_EXTREMO,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31139fffff,Ciudad Autónoma de Buenos Aires,Comuna 1,33425,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e39a95fffff,Buenos Aires,Ezeiza,33121,HOTSPOT_EXTREMO,17,TREN,REPRESENTATIVE_POINT,
88c2e311edfffff,Ciudad Autónoma de Buenos Aires,Comuna 1,32433,HOTSPOT_EXTREMO,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2e2ac99fffff,Buenos Aires,La Plata,31695,HOTSPOT_EXTREMO,13,TREN,REPRESENTATIVE_POINT,
88c2e38903fffff,Buenos Aires,Lomas de Zamora,30791,HOTSPOT_EXTREMO,17,TREN,REPRESENTATIVE_POINT,
88c2e31acbfffff,Ciudad Autónoma de Buenos Aires,Comuna 1,30530,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3993dfffff,Buenos Aires,Almirante Brown,29884,HOTSPOT_EXTREMO,7,TREN,REPRESENTATIVE_POINT,
88c2e3aa6dfffff,Buenos Aires,San Miguel,29695,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31181fffff,Ciudad Autónoma de Buenos Aires,Comuna 14,29476,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3c0c3fffff,Buenos Aires,Berazategui,28802,HOTSPOT_EXTREMO,17,TREN,REPRESENTATIVE_POINT,
88c2e3173dfffff,Buenos Aires,General San Martín,28727,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31195fffff,Ciudad Autónoma de Buenos Aires,Comuna 14,28446,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3a855fffff,Buenos Aires,Malvinas Argentinas,28222,HOTSPOT_EXTREMO,17,TREN,REPRESENTATIVE_POINT,
88c2e311dbfffff,Ciudad Autónoma de Buenos Aires,Comuna 15,27952,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e385b7fffff,Buenos Aires,Merlo,27808,HOTSPOT_EXTREMO,18,TREN,REPRESENTATIVE_POINT,
88c2e30247fffff,Ciudad Autónoma de Buenos Aires,Comuna 13,27796,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3a943fffff,Buenos Aires,Tigre,27723,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e315d5fffff,Buenos Aires,San Isidro,27680,HOTSPOT_EXTREMO,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31185fffff,Ciudad Autónoma de Buenos Aires,Comuna 14,27616,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e381d5fffff,Buenos Aires,La Matanza,27063,HOTSPOT_EXTREMO,17,TREN,REPRESENTATIVE_POINT,
88c2e38e93fffff,Buenos Aires,Ituzaingó,27032,HOTSPOT_EXTREMO,7,TREN,REPRESENTATIVE_POINT,
88c2e388adfffff,Buenos Aires,Lomas de Zamora,26545,HOTSPOT_EXTREMO,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31057fffff,Ciudad Autónoma de Buenos Aires,Comuna 7,26230,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3d4ebfffff,Buenos Aires,Almirante Brown,25945,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e30211fffff,Buenos Aires,Vicente López,25796,HOTSPOT_EXTREMO,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2e311c5fffff,Ciudad Autónoma de Buenos Aires,Comuna 3,25311,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3ab59fffff,Buenos Aires,Malvinas Argentinas,25295,HOTSPOT_EXTREMO,6,TREN,REPRESENTATIVE_POINT,
88c2e311a9fffff,Ciudad Autónoma de Buenos Aires,Comuna 2,25169,HOTSPOT_EXTREMO,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2e311c1fffff,Ciudad Autónoma de Buenos Aires,Comuna 5,24339,HOTSPOT_EXTREMO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31ad9fffff,Ciudad Autónoma de Buenos Aires,Comuna 1,24338,HOTSPOT_EXTREMO,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31315fffff,Ciudad Autónoma de Buenos Aires,Comuna 4,23936,HOTSPOT_ALTO,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31117fffff,Ciudad Autónoma de Buenos Aires,Comuna 3,23775,HOTSPOT_ALTO,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e311d9fffff,Ciudad Autónoma de Buenos Aires,Comuna 15,23449,HOTSPOT_ALTO,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31137fffff,Ciudad Autónoma de Buenos Aires,Comuna 1,23170,HOTSPOT_ALTO,17,SUBTE,REPRESENTATIVE_POINT,
88c2e33745fffff,Buenos Aires,Escobar,22992,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31003fffff,Ciudad Autónoma de Buenos Aires,Comuna 6,22892,HOTSPOT_ALTO,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3aecbfffff,Buenos Aires,Pilar,22749,HOTSPOT_ALTO,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e314b1fffff,Buenos Aires,Tigre,22728,HOTSPOT_ALTO,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e311cdfffff,Ciudad Autónoma de Buenos Aires,Comuna 3,22490,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31065fffff,Ciudad Autónoma de Buenos Aires,Comuna 4,22431,HOTSPOT_ALTO,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e38d67fffff,Ciudad Autónoma de Buenos Aires,Comuna 9,22132,HOTSPOT_ALTO,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31707fffff,Buenos Aires,General San Martín,22074,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3ae6dfffff,Buenos Aires,Pilar,21731,HOTSPOT_ALTO,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e315c5fffff,Buenos Aires,San Isidro,21635,HOTSPOT_ALTO,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e314d3fffff,Buenos Aires,Tigre,21236,HOTSPOT_ALTO,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e38eb1fffff,Buenos Aires,Morón,20831,HOTSPOT_ALTO,7,TREN,REPRESENTATIVE_POINT,
88c2e3165bfffff,Buenos Aires,Hurlingham,20756,HOTSPOT_ALTO,17,TREN,REPRESENTATIVE_POINT,
88c2e06cd9fffff,Buenos Aires,Presidente Perón,20676,HOTSPOT_ALTO,7,TREN,REPRESENTATIVE_POINT,
88c2e39907fffff,Buenos Aires,Almirante Brown,20645,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3ba19fffff,Buenos Aires,Moreno,20176,HOTSPOT_ALTO,18,TREN,REPRESENTATIVE_POINT,
88c2e3d4a5fffff,Buenos Aires,Almirante Brown,20122,HOTSPOT_ALTO,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2e311ebfffff,Ciudad Autónoma de Buenos Aires,Comuna 2,20055,HOTSPOT_ALTO,18,COLECTIVO,INTERSECCION_MAYOR_AREA,
88c2e31467fffff,Buenos Aires,General San Martín,19980,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e311c9fffff,Ciudad Autónoma de Buenos Aires,Comuna 5,19878,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e311e9fffff,Ciudad Autónoma de Buenos Aires,Comuna 3,19774,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3c429fffff,Buenos Aires,Quilmes,19752,HOTSPOT_ALTO,17,TREN,REPRESENTATIVE_POINT,
88c2e380ddfffff,Buenos Aires,La Matanza,19674,HOTSPOT_ALTO,18,TREN,REPRESENTATIVE_POINT,
88c2e3ab17fffff,Buenos Aires,Malvinas Argentinas,19644,HOTSPOT_ALTO,18,TREN,REPRESENTATIVE_POINT,
88c2e31325fffff,Buenos Aires,Avellaneda,19640,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e38b23fffff,Buenos Aires,Lomas de Zamora,19165,HOTSPOT_ALTO,7,TREN,REPRESENTATIVE_POINT,
88c2e311e7fffff,Ciudad Autónoma de Buenos Aires,Comuna 2,19156,HOTSPOT_ALTO,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e380ebfffff,Buenos Aires,La Matanza,19146,HOTSPOT_ALTO,6,COLECTIVO,REPRESENTATIVE_POINT,
88c2e38b6bfffff,Buenos Aires,Almirante Brown,19108,HOTSPOT_ALTO,12,TREN,REPRESENTATIVE_POINT,
88c2e3c499fffff,Buenos Aires,Avellaneda,18823,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31159fffff,Ciudad Autónoma de Buenos Aires,Comuna 4,18793,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e38d33fffff,Ciudad Autónoma de Buenos Aires,Comuna 9,18283,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e38de5fffff,Buenos Aires,Tres de Febrero,18171,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3a845fffff,Buenos Aires,Malvinas Argentinas,18161,HOTSPOT_ALTO,7,TREN,REPRESENTATIVE_POINT,
88c2e38c6dfffff,Buenos Aires,La Matanza,18139,HOTSPOT_ALTO,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31115fffff,Ciudad Autónoma de Buenos Aires,Comuna 1,18104,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e311abfffff,Ciudad Autónoma de Buenos Aires,Comuna 14,18094,HOTSPOT_ALTO,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3d5a7fffff,Buenos Aires,Florencio Varela,18039,HOTSPOT_ALTO,7,COLECTIVO,INTERSECCION_MAYOR_AREA,
88c2e3d4d5fffff,Buenos Aires,Almirante Brown,17976,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3176dfffff,Ciudad Autónoma de Buenos Aires,Comuna 11,17621,HOTSPOT_ALTO,8,TREN,REPRESENTATIVE_POINT,
88c2e38c33fffff,Buenos Aires,Morón,17407,HOTSPOT_ALTO,18,TREN,REPRESENTATIVE_POINT,
88c2e31193fffff,Ciudad Autónoma de Buenos Aires,Comuna 14,17375,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3db25fffff,Buenos Aires,La Plata,16988,HOTSPOT_ALTO,15,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3111dfffff,Ciudad Autónoma de Buenos Aires,Comuna 3,16956,HOTSPOT_ALTO,8,COLECTIVO,REPRESENTATIVE_POINT,
88c2e311cbfffff,Ciudad Autónoma de Buenos Aires,Comuna 5,16889,HOTSPOT_ALTO,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3111bfffff,Ciudad Autónoma de Buenos Aires,Comuna 3,16733,HOTSPOT_ALTO,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2e312b7fffff,Ciudad Autónoma de Buenos Aires,Comuna 11,16702,HOTSPOT_ALTO,8,TREN,REPRESENTATIVE_POINT,
88c2e310e9fffff,Ciudad Autónoma de Buenos Aires,Comuna 15,16612,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3113dfffff,Ciudad Autónoma de Buenos Aires,Comuna 1,16207,HOTSPOT_ALTO,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31105fffff,Ciudad Autónoma de Buenos Aires,Comuna 1,16199,HOTSPOT_ALTO,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2e38c65fffff,Buenos Aires,La Matanza,15972,HOTSPOT_ALTO,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3024dfffff,Ciudad Autónoma de Buenos Aires,Comuna 13,15956,HOTSPOT_ALTO,16,COLECTIVO,REPRESENTATIVE_POINT,
