indicador,valor,tipo,objetivo_pct,h3,pct_h3,operaciones,pct_operaciones
total_h3,6785,,,,,,
operaciones_totales,11919434,,,,,,
operaciones_promedio_h3,1756.7330876934413,,,,,,
operaciones_mediana_h3,351.0,,,,,,
operaciones_max_h3,385544,,,,,,
hhi_espacial,29.846810171421293,,,,,,
pct_top_10,68.90697997908289,,,,,,
clasificacion_concentracion,MUY_ALTA,,,,,,
,,TOP,1.0,67.0,0.9874723655121592,3564524.0,29.905144824829772
,,TOP,5.0,339.0,4.9963154016212235,6727047.0,56.43763789455103
,,TOP,10.0,678.0,9.992630803242447,8213322.0,68.90697997908289
,,TOP,20.0,1357.0,20.0,9852424.0,82.65848864971272
,,TOP,30.0,2035.0,29.99263080324245,10765406.0,90.31809731905055
,,TOP,40.0,2714.0,40.0,11323891.0,95.00359664729046
,,TOP,50.0,3392.0,49.99263080324245,11653783.0,97.77127840130663
,,OBJETIVO,25.0,46.0,0.6779661016949152,2995551.0,25.131654741324127
,,OBJETIVO,50.0,232.0,3.41930729550479,5964324.0,50.038651164140845
,,OBJETIVO,75.0,924.0,13.618275607958733,8940630.0,75.00884689658922
,,OBJETIVO,90.0,2000.0,29.476787030213707,10728397.0,90.00760438792648
,,OBJETIVO,95.0,2714.0,40.0,11323891.0,95.00359664729046
,,OBJETIVO,99.0,3958.0,58.334561532792925,11800395.0,99.00130324980196
