id_h3,registros,operaciones
88c2e3c935fffff,14,188
88c2e226ddfffff,15,148
88c2e31a37fffff,12,124
88c2e30f4dfffff,6,121
88c2e3c937fffff,12,120
88c2e2264dfffff,7,113
88c2e3c931fffff,9,112
88c2e3c93dfffff,12,104
88c2e3cb57fffff,12,93
88c2e3cc85fffff,12,93
88c2e31921fffff,9,91
88c2e224edfffff,6,83
88c2e31925fffff,11,80
88c2e234b7fffff,6,79
88c2e31b51fffff,8,79
88c2e31b57fffff,7,75
88c2c492d9fffff,6,74
88c2e3c907fffff,10,73
88c2e3c855fffff,4,72
88c2e22d33fffff,5,72
88c2e3c591fffff,2,71
88c2e3ca3bfffff,3,68
88c2e3560bfffff,5,67
88c2e35655fffff,9,67
88c2e220ddfffff,2,65
88c2e226adfffff,5,65
88c2e220b9fffff,4,64
88c2e3c923fffff,6,62
88c2e3cd93fffff,6,59
88c2e31a35fffff,4,58
88c2e3c929fffff,12,58
88c2e31b3bfffff,3,58
88c2e234a7fffff,4,55
88c2e3561dfffff,8,55
88c2e220b5fffff,4,51
88c2e319abfffff,5,50
88c2e3ccc7fffff,5,50
88c2e226c9fffff,7,50
88c2e318c9fffff,8,49
88c2e22d3bfffff,4,47
88c2e3ccedfffff,6,46
88c2e35657fffff,5,45
88c2e35645fffff,7,44
88c2e22613fffff,9,44
88c2e224e1fffff,4,40
88c2e356c9fffff,8,40
88c2e31927fffff,7,40
88c2e22c25fffff,8,38
88c2e31851fffff,9,37
88c2e226ebfffff,6,37
88c2e3c83dfffff,4,36
88c2e22e09fffff,7,36
88c2e220b1fffff,5,35
88c2e3c911fffff,4,35
88c2e3c933fffff,2,34
88c2e22547fffff,1,34
88c2e31847fffff,11,34
88c2e31ab7fffff,5,34
88c2e22c6bfffff,7,34
88c2e22d37fffff,2,33
88c2e22435fffff,3,33
88c2e31a61fffff,2,32
88c2e3ccb9fffff,6,32
88c2e3cb1dfffff,4,31
88c2e3c92bfffff,6,31
88c2e31aa7fffff,7,31
88c2e35643fffff,6,31
88c2e3ccabfffff,7,31
88c2e3cca7fffff,5,29
88c2e224e7fffff,4,29
88c2e3c915fffff,8,29
88c2e3184dfffff,8,29
88c2e22e2bfffff,4,29
88c2e234a3fffff,3,28
88c2e3184bfffff,4,28
88c2e3c939fffff,5,27
88c2e226d7fffff,5,27
88c2e3c827fffff,5,27
88c2e31853fffff,6,27
88c2e31865fffff,4,27
88c2e31b19fffff,3,27
88c2e3c947fffff,4,26
88c2e3c943fffff,7,26
88c2e220d1fffff,3,26
88c2e3c829fffff,5,26
88c2e31aa5fffff,4,25
88c2e31a97fffff,4,25
88c2e3c94dfffff,3,25
88c2e225c9fffff,1,25
88c2e30f45fffff,3,24
88c2e226a9fffff,4,23
88c2e356dbfffff,5,23
88c2e3190dfffff,4,23
88c2e3c927fffff,4,22
88c2e31947fffff,3,22
88c2e3c905fffff,4,22
88c2e2251bfffff,1,22
88c2e3185dfffff,3,22
88c2e22e05fffff,4,22
88c2e31949fffff,3,22
88c2e31905fffff,3,22
88c2e3564bfffff,5,22
88c2e22519fffff,4,21
88c2e22419fffff,3,21
88c2e220d7fffff,2,21
88c2e3cce9fffff,5,20
88c2e22427fffff,2,20
88c2e35619fffff,6,20
88c2e22c67fffff,5,19
88c2e22e41fffff,4,19
88c2e22423fffff,4,19
88c2e31ab5fffff,8,18
88c2e3cc8dfffff,3,18
88c2e31801fffff,2,18
88c2e3c851fffff,3,18
88c2e22c2dfffff,5,18
88c2e3c859fffff,3,18
88c2e3cb31fffff,6,18
88c2e22659fffff,2,18
88c2e3cb37fffff,8,18
88c2e3c965fffff,6,17
88c2e31835fffff,2,17
88c2e31805fffff,5,17
88c2e22c61fffff,3,16
88c2e3c921fffff,4,16
88c2e220b7fffff,1,16
88c2e31a95fffff,3,16
88c2e319a1fffff,2,16
88c2e356d9fffff,6,16
88c2e31845fffff,5,16
88c2e3185bfffff,3,16
88c2e3186bfffff,5,16
88c2e22d15fffff,2,16
88c2e22d11fffff,7,16
88c2e22d1bfffff,3,16
88c2e31837fffff,6,15
88c2e22e49fffff,3,15
88c2e22f13fffff,1,15
88c2e22e43fffff,4,15
88c2e22e29fffff,1,15
88c2e22413fffff,3,15
88c2e318ddfffff,4,15
88c2e3c863fffff,2,15
88c2c492cbfffff,2,14
88c2e22c45fffff,6,14
88c2e224e9fffff,3,14
88c2e318cbfffff,2,14
88c2c492dbfffff,3,14
88c2e3c967fffff,5,14
88c2e22d31fffff,3,14
88c2e31a6dfffff,1,13
88c2e3ccb1fffff,2,13
88c2e3c839fffff,3,13
88c2e3c913fffff,2,13
88c2e3c9edfffff,3,13
88c2e31b55fffff,2,13
88c2e31abdfffff,6,13
88c2e31b13fffff,2,13
88c2e22e0bfffff,1,13
88c2e22417fffff,4,12
88c2e3cb19fffff,2,12
88c2e3c5bdfffff,1,12
88c2e31843fffff,3,12
88c2e22e23fffff,4,12
88c2e31901fffff,2,12
88c2e226a5fffff,5,11
88c2e226c5fffff,5,11
88c2e3c909fffff,6,11
88c2e31935fffff,3,11
88c2e31abbfffff,4,11
88c2e31b1bfffff,5,11
88c2e22431fffff,5,11
88c2e234b5fffff,3,11
88c2e31823fffff,3,11
88c2e31b53fffff,3,11
88c2e31955fffff,2,11
88c2e31937fffff,4,11
88c2e3c901fffff,5,10
88c2e3c93bfffff,4,10
88c2e226cbfffff,4,10
88c2e226e1fffff,2,10
88c2e30125fffff,3,10
88c2e22d17fffff,3,10
88c2e22eedfffff,1,10
88c2e30a5dfffff,5,10
88c2e3c803fffff,3,10
88c2e3c5b5fffff,1,10
88c2e3183bfffff,2,10
88c2e31839fffff,3,10
88c2e31ab1fffff,2,10
88c2e31b33fffff,3,10
88c2e318a7fffff,4,10
88c2e319d3fffff,5,10
88c2e22083fffff,1,9
88c2e31ab3fffff,2,9
88c2e319a9fffff,2,9
88c2e3cc87fffff,2,9
88c2e3c9e9fffff,2,9
88c2e22c4dfffff,3,9
88c2e22699fffff,2,9
88c2e31945fffff,2,9
88c2e31859fffff,3,9
88c2e3564dfffff,3,9
88c2e35647fffff,3,9
88c2e30a51fffff,6,9
88c2e3c91bfffff,3,9
88c2e3cb3bfffff,2,9
88c2e2265bfffff,1,9
88c2e31869fffff,3,8
88c2e30a4bfffff,4,8
88c2e3194dfffff,3,8
88c2e31855fffff,1,8
88c2e31b35fffff,3,8
88c2e3c843fffff,2,8
88c2e22c49fffff,1,8
88c2e226d5fffff,2,8
88c2e31863fffff,3,8
88c2e22c69fffff,1,8
88c2e3c80bfffff,3,7
88c2e22d19fffff,1,7
88c2e22ee9fffff,1,7
88c2e31857fffff,2,7
88c2e3c581fffff,1,7
88c2e3c5bbfffff,1,7
88c2e3ca33fffff,2,7
88c2e31959fffff,1,7
88c2e3c5abfffff,1,7
88c2e3ccc5fffff,2,7
88c2e31a31fffff,1,7
88c2e3c9e1fffff,1,7
88c2e22433fffff,2,6
88c2e2241bfffff,3,6
88c2e226d9fffff,2,6
88c2e31929fffff,2,6
88c2e318adfffff,2,6
88c2e318abfffff,1,6
88c2e319d1fffff,2,6
88c2e22e27fffff,2,6
88c2e3cb15fffff,1,6
88c2e3c95dfffff,2,6
