id_h3,area_h3_m2,id_jurisdiccion,jurisdiccion,jurisdiccion_completa,provincia_jurisdiccion,categoria_jurisdiccion,interseccion_m2,interseccion_pct,metodo_asignacion,distancia_asignacion_m,confianza_asignacion,registros,operaciones
88c2e02d05fffff,756647.8711981629,060134,Cañuelas,Municipio Cañuelas,"{'id': '06', 'nombre': 'Buenos Aires', 'interseccion': 0.0}",Municipio,756647.8711981629,100.0,INTERSECCION,0.0,ALTA,16,58
88c2e02d25fffff,756317.750151709,060134,Cañuelas,Municipio Cañuelas,"{'id': '06', 'nombre': 'Buenos Aires', 'interseccion': 0.0}",Municipio,756317.750151709,100.0,INTERSECCION,0.0,ALTA,35,205
88c2e02db3fffff,757419.8949375056,060134,Cañuelas,Municipio Cañuelas,"{'id': '06', 'nombre': 'Buenos Aires', 'interseccion': 0.0}",Municipio,757419.8949375055,99.99999999999999,INTERSECCION,0.0,ALTA,5,16
88c2e02e09fffff,758186.868625601,060134,Cañuelas,Municipio Cañuelas,"{'id': '06', 'nombre': 'Buenos Aires', 'interseccion': 0.0}",Municipio,758186.8686256009,99.99999999999999,INTERSECCION,0.0,ALTA,22,395
88c2e02e47fffff,758104.1467401823,060134,Cañuelas,Municipio Cañuelas,"{'id': '06', 'nombre': 'Buenos Aires', 'interseccion': 0.0}",Municipio,758104.1467401823,100.0,INTERSECCION,0.0,ALTA,21,2664
88c2e02e55fffff,758324.3561542376,060134,Cañuelas,Municipio Cañuelas,"{'id': '06', 'nombre': 'Buenos Aires', 'interseccion': 0.0}",Municipio,758324.3561542376,100.0,INTERSECCION,0.0,ALTA,20,427
88c2e06153fffff,757296.0244442554,060778,San Vicente,Municipio San Vicente,"{'id': '06', 'nombre': 'Buenos Aires', 'interseccion': 0.0}",Municipio,757296.0244442555,100.00000000000003,INTERSECCION,0.0,ALTA,22,1130
88c2e0615bfffff,757234.0262693014,060778,San Vicente,Municipio San Vicente,"{'id': '06', 'nombre': 'Buenos Aires', 'interseccion': 0.0}",Municipio,757234.0262693013,99.99999999999999,INTERSECCION,0.0,ALTA,21,441
88c2e06521fffff,756696.6257452483,060778,San Vicente,Municipio San Vicente,"{'id': '06', 'nombre': 'Buenos Aires', 'interseccion': 0.0}",Municipio,756696.6257452483,100.0,INTERSECCION,0.0,ALTA,24,3249
88c2e06523fffff,756662.8524510228,060778,San Vicente,Municipio San Vicente,"{'id': '06', 'nombre': 'Buenos Aires', 'interseccion': 0.0}",Municipio,756662.8524510228,100.0,INTERSECCION,0.0,ALTA,23,683
