id,id_h3,hora,modo,cantidad_trx
1,88c2e02d05fffff,0,COLECTIVO,3
2,88c2e02d25fffff,0,COLECTIVO,1
3,88c2e02db3fffff,0,COLECTIVO,2
4,88c2e02e09fffff,0,COLECTIVO,2
5,88c2e02e47fffff,0,COLECTIVO,8
6,88c2e02e55fffff,0,COLECTIVO,3
7,88c2e06153fffff,0,COLECTIVO,3
8,88c2e0615bfffff,0,COLECTIVO,2
9,88c2e06521fffff,0,COLECTIVO,6
10,88c2e06523fffff,0,COLECTIVO,1
11,88c2e06525fffff,0,COLECTIVO,1
12,88c2e06527fffff,0,COLECTIVO,1
13,88c2e06547fffff,0,COLECTIVO,1
14,88c2e06563fffff,0,COLECTIVO,5
15,88c2e06703fffff,0,COLECTIVO,12
16,88c2e0670bfffff,0,COLECTIVO,13
17,88c2e0670dfffff,0,COLECTIVO,5
18,88c2e0676bfffff,0,COLECTIVO,2
19,88c2e06cd3fffff,0,COLECTIVO,1
20,88c2e06cd9fffff,0,COLECTIVO,5
21,88c2e06eb3fffff,0,COLECTIVO,1
22,88c2e06ec1fffff,0,COLECTIVO,1
23,88c2e07ac3fffff,0,COLECTIVO,1
24,88c2e07ac7fffff,0,COLECTIVO,2
25,88c2e07ae9fffff,0,COLECTIVO,9
26,88c2e11997fffff,0,COLECTIVO,2
27,88c2e1422bfffff,0,COLECTIVO,1
28,88c2e14305fffff,0,COLECTIVO,1
29,88c2e1483dfffff,0,COLECTIVO,1
30,88c2e149a7fffff,0,COLECTIVO,1
31,88c2e149c1fffff,0,COLECTIVO,5
32,88c2e149c7fffff,0,COLECTIVO,7
33,88c2e149ebfffff,0,COLECTIVO,1
34,88c2e16613fffff,0,COLECTIVO,1
35,88c2e16633fffff,0,COLECTIVO,1
36,88c2e16825fffff,0,COLECTIVO,1
37,88c2e16837fffff,0,COLECTIVO,3
38,88c2e1690dfffff,0,COLECTIVO,2
39,88c2e1691bfffff,0,COLECTIVO,1
40,88c2e169c9fffff,0,COLECTIVO,8
41,88c2e169cbfffff,0,COLECTIVO,2
42,88c2e169d1fffff,0,COLECTIVO,7
43,88c2e169d9fffff,0,COLECTIVO,5
44,88c2e169ddfffff,0,COLECTIVO,2
45,88c2e16ab3fffff,0,COLECTIVO,1
46,88c2e16f27fffff,0,COLECTIVO,1
47,88c2e22519fffff,0,COLECTIVO,2
48,88c2e226cdfffff,0,COLECTIVO,1
49,88c2e226d9fffff,0,COLECTIVO,1
50,88c2e23621fffff,0,COLECTIVO,1
51,88c2e2362bfffff,0,COLECTIVO,6
52,88c2e2362dfffff,0,COLECTIVO,1
53,88c2e23639fffff,0,COLECTIVO,1
54,88c2e2363bfffff,0,COLECTIVO,2
55,88c2e2364bfffff,0,COLECTIVO,4
56,88c2e23689fffff,0,COLECTIVO,1
57,88c2e2368bfffff,0,COLECTIVO,2
58,88c2e2369bfffff,0,COLECTIVO,1
59,88c2e236d7fffff,0,COLECTIVO,1
60,88c2e236ebfffff,0,COLECTIVO,1
61,88c2e23753fffff,0,COLECTIVO,2
62,88c2e2a409fffff,0,COLECTIVO,1
63,88c2e2a40bfffff,0,COLECTIVO,1
64,88c2e2a439fffff,0,COLECTIVO,1
65,88c2e2a459fffff,0,COLECTIVO,1
66,88c2e2a463fffff,0,COLECTIVO,1
67,88c2e2a4c1fffff,0,COLECTIVO,1
68,88c2e2a511fffff,0,COLECTIVO,2
69,88c2e2a58dfffff,0,COLECTIVO,2
70,88c2e2a59bfffff,0,COLECTIVO,1
71,88c2e2a5cbfffff,0,COLECTIVO,2
72,88c2e2a5edfffff,0,COLECTIVO,1
73,88c2e2a689fffff,0,COLECTIVO,1
74,88c2e2a6abfffff,0,COLECTIVO,1
75,88c2e2ac81fffff,0,COLECTIVO,1
76,88c2e2ac8bfffff,0,COLECTIVO,1
77,88c2e2ac99fffff,0,COLECTIVO,10
78,88c2e2ac9bfffff,0,COLECTIVO,12
79,88c2e2acb5fffff,0,COLECTIVO,2
80,88c2e2acbbfffff,0,COLECTIVO,2
81,88c2e2acc1fffff,0,COLECTIVO,1
82,88c2e2acc7fffff,0,COLECTIVO,4
83,88c2e2accdfffff,0,COLECTIVO,1
84,88c2e2acd1fffff,0,COLECTIVO,28
85,88c2e2acd3fffff,0,COLECTIVO,83
86,88c2e2acd5fffff,0,COLECTIVO,6
87,88c2e2acd7fffff,0,COLECTIVO,1
88,88c2e2acd9fffff,0,COLECTIVO,4
89,88c2e2acdbfffff,0,COLECTIVO,9
90,88c2e2acddfffff,0,COLECTIVO,4
91,88c2e2ae29fffff,0,COLECTIVO,1
92,88c2e2ae81fffff,0,COLECTIVO,3
93,88c2e2ae89fffff,0,COLECTIVO,3
94,88c2e2ae91fffff,0,COLECTIVO,1
95,88c2e2ae93fffff,0,COLECTIVO,5
96,88c2e2ae9dfffff,0,COLECTIVO,1
97,88c2e2aeb5fffff,0,COLECTIVO,1
98,88c2e2aeb7fffff,0,COLECTIVO,5
99,88c2e2aebdfffff,0,COLECTIVO,1
100,88c2e2aed7fffff,0,COLECTIVO,1
101,88c2e300d9fffff,0,COLECTIVO,6
102,88c2e30201fffff,0,COLECTIVO,47
103,88c2e30203fffff,0,COLECTIVO,9
104,88c2e30205fffff,0,COLECTIVO,2
105,88c2e30207fffff,0,COLECTIVO,6
106,88c2e3020dfffff,0,COLECTIVO,48
107,88c2e30211fffff,0,COLECTIVO,185
108,88c2e30213fffff,0,COLECTIVO,62
109,88c2e30215fffff,0,COLECTIVO,38
110,88c2e30217fffff,0,COLECTIVO,7
111,88c2e30219fffff,0,COLECTIVO,88
112,88c2e3021dfffff,0,COLECTIVO,71
113,88c2e30221fffff,0,COLECTIVO,6
114,88c2e30229fffff,0,COLECTIVO,19
115,88c2e3022bfffff,0,COLECTIVO,37
116,88c2e3022dfffff,0,COLECTIVO,1
117,88c2e30241fffff,0,COLECTIVO,234
118,88c2e30243fffff,0,COLECTIVO,226
119,88c2e30245fffff,0,COLECTIVO,40
120,88c2e30247fffff,0,COLECTIVO,189
121,88c2e30249fffff,0,COLECTIVO,27
122,88c2e3024bfffff,0,COLECTIVO,51
123,88c2e3024dfffff,0,COLECTIVO,58
124,88c2e30251fffff,0,COLECTIVO,6
125,88c2e30253fffff,0,COLECTIVO,1
126,88c2e30255fffff,0,COLECTIVO,113
127,88c2e30257fffff,0,COLECTIVO,102
128,88c2e30259fffff,0,COLECTIVO,18
129,88c2e3025bfffff,0,COLECTIVO,6
130,88c2e3025dfffff,0,COLECTIVO,21
131,88c2e30263fffff,0,COLECTIVO,12
132,88c2e30267fffff,0,COLECTIVO,1
133,88c2e30269fffff,0,COLECTIVO,63
134,88c2e3026bfffff,0,COLECTIVO,149
135,88c2e3026dfffff,0,COLECTIVO,11
136,88c2e30281fffff,0,COLECTIVO,28
137,88c2e30283fffff,0,COLECTIVO,32
138,88c2e30289fffff,0,COLECTIVO,1
139,88c2e3028bfffff,0,COLECTIVO,4
140,88c2e3028dfffff,0,COLECTIVO,75
141,88c2e30299fffff,0,COLECTIVO,2
142,88c2e3029bfffff,0,COLECTIVO,3
143,88c2e302a9fffff,0,COLECTIVO,7
144,88c2e302abfffff,0,COLECTIVO,9
145,88c2e302b5fffff,0,COLECTIVO,6
146,88c2e302b9fffff,0,COLECTIVO,30
147,88c2e302bbfffff,0,COLECTIVO,48
148,88c2e302c1fffff,0,COLECTIVO,4
149,88c2e302c5fffff,0,COLECTIVO,24
150,88c2e302c7fffff,0,COLECTIVO,3
151,88c2e302c9fffff,0,COLECTIVO,5
152,88c2e302cbfffff,0,COLECTIVO,3
153,88c2e302cdfffff,0,COLECTIVO,2
154,88c2e302d1fffff,0,COLECTIVO,9
155,88c2e302d5fffff,0,COLECTIVO,2
156,88c2e302d7fffff,0,COLECTIVO,10
157,88c2e302d9fffff,0,COLECTIVO,45
158,88c2e302dbfffff,0,COLECTIVO,47
159,88c2e302e1fffff,0,COLECTIVO,16
160,88c2e302e3fffff,0,COLECTIVO,1
161,88c2e302e9fffff,0,COLECTIVO,8
162,88c2e302ebfffff,0,COLECTIVO,29
163,88c2e30349fffff,0,COLECTIVO,7
164,88c2e3034bfffff,0,COLECTIVO,11
165,88c2e30351fffff,0,COLECTIVO,1
166,88c2e3035bfffff,0,COLECTIVO,39
167,88c2e3035dfffff,0,COLECTIVO,77
168,88c2e30401fffff,0,COLECTIVO,5
169,88c2e30409fffff,0,COLECTIVO,28
170,88c2e3040bfffff,0,COLECTIVO,19
171,88c2e3040dfffff,0,COLECTIVO,2
172,88c2e30419fffff,0,COLECTIVO,3
173,88c2e3041bfffff,0,COLECTIVO,2
174,88c2e3041dfffff,0,COLECTIVO,30
175,88c2e30441fffff,0,COLECTIVO,3
176,88c2e30445fffff,0,COLECTIVO,1
177,88c2e30447fffff,0,COLECTIVO,32
178,88c2e30449fffff,0,COLECTIVO,5
179,88c2e3044bfffff,0,COLECTIVO,17
180,88c2e30451fffff,0,COLECTIVO,12
181,88c2e30457fffff,0,COLECTIVO,3
182,88c2e3045dfffff,0,COLECTIVO,4
183,88c2e30469fffff,0,COLECTIVO,20
184,88c2e3046bfffff,0,COLECTIVO,8
185,88c2e304c5fffff,0,COLECTIVO,1
186,88c2e30601fffff,0,COLECTIVO,2
187,88c2e30609fffff,0,COLECTIVO,2
188,88c2e3060dfffff,0,COLECTIVO,1
189,88c2e30611fffff,0,COLECTIVO,33
190,88c2e30617fffff,0,COLECTIVO,9
191,88c2e3061bfffff,0,COLECTIVO,5
192,88c2e30621fffff,0,COLECTIVO,5
193,88c2e30623fffff,0,COLECTIVO,2
194,88c2e30625fffff,0,COLECTIVO,1
195,88c2e30629fffff,0,COLECTIVO,3
196,88c2e3062dfffff,0,COLECTIVO,1
197,88c2e30631fffff,0,COLECTIVO,15
198,88c2e30633fffff,0,COLECTIVO,6
199,88c2e3063bfffff,0,COLECTIVO,6
200,88c2e30643fffff,0,COLECTIVO,3
201,88c2e30649fffff,0,COLECTIVO,2
202,88c2e3064dfffff,0,COLECTIVO,4
203,88c2e3065bfffff,0,COLECTIVO,7
204,88c2e30661fffff,0,COLECTIVO,1
205,88c2e30665fffff,0,COLECTIVO,3
206,88c2e30667fffff,0,COLECTIVO,3
207,88c2e30669fffff,0,COLECTIVO,1
208,88c2e306a5fffff,0,COLECTIVO,6
209,88c2e306a7fffff,0,COLECTIVO,4
210,88c2e306b1fffff,0,COLECTIVO,4
211,88c2e306b3fffff,0,COLECTIVO,7
212,88c2e306b5fffff,0,COLECTIVO,1
213,88c2e30705fffff,0,COLECTIVO,11
214,88c2e30707fffff,0,COLECTIVO,2
215,88c2e30709fffff,0,COLECTIVO,3
216,88c2e30715fffff,0,COLECTIVO,4
217,88c2e30717fffff,0,COLECTIVO,7
218,88c2e3071dfffff,0,COLECTIVO,3
219,88c2e30725fffff,0,COLECTIVO,3
220,88c2e30729fffff,0,COLECTIVO,2
221,88c2e30739fffff,0,COLECTIVO,22
222,88c2e30745fffff,0,COLECTIVO,2
223,88c2e30747fffff,0,COLECTIVO,4
224,88c2e30749fffff,0,COLECTIVO,4
225,88c2e30757fffff,0,COLECTIVO,1
226,88c2e30761fffff,0,COLECTIVO,58
227,88c2e30763fffff,0,COLECTIVO,21
228,88c2e30765fffff,0,COLECTIVO,1
229,88c2e30767fffff,0,COLECTIVO,1
230,88c2e3076bfffff,0,COLECTIVO,1
231,88c2e3076dfffff,0,COLECTIVO,36
232,88c2e31001fffff,0,COLECTIVO,29
233,88c2e31003fffff,0,COLECTIVO,167
234,88c2e31005fffff,0,COLECTIVO,87
235,88c2e31007fffff,0,COLECTIVO,222
236,88c2e31009fffff,0,COLECTIVO,36
237,88c2e3100bfffff,0,COLECTIVO,49
238,88c2e3100dfffff,0,COLECTIVO,24
239,88c2e31011fffff,0,COLECTIVO,27
240,88c2e31013fffff,0,COLECTIVO,23
241,88c2e31015fffff,0,COLECTIVO,5
242,88c2e31019fffff,0,COLECTIVO,14
243,88c2e3101bfffff,0,COLECTIVO,13
